web-scraper-order,web-scraper-start-url,link,link-href,title,price,colour,description,material
"1573338557-14647","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","BLOUSE WITH BACK NECKLINE DETAIL","https://www.zara.com/sg/en/blouse-with-back-neckline-detail-p07484164.html","BLOUSE WITH BACK NECKLINE DETAIL Details","S$ 59.90","Maroon","Short blouse featuring a high neck, long sleeves, shoulder pleats and low-cut back with tied detail. 
 Elastic hem detail and back button fastening.

HEIGHT OF MODEL: 177 CM / 69.6″","null"
"1573341134-15409","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","COLOUR BLOCK DRESS","https://www.zara.com/sg/en/colour-block-dress-p00208802.html","COLOUR BLOCK DRESS Details","S$ 45.90","Black","Short dress with a round neckline, long sleeves and elastic cuffs.

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573330046-12120","https://www.zara.com/sg/en/woman-basics-l1050.html?v1=1282128","null","","","","","",""
"1573335518-13786","https://www.zara.com/sg/en/woman-knitwear-l1152.html?v1=1281621","KNIT CROPPED TOP","https://www.zara.com/sg/en/knit-cropped-top-p05536110.html","KNIT CROPPED TOP Details","S$ 29.90","Stone","Knit top with a straight neckline.

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573339515-14967","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","FLORAL PRINT DRESS WITH BOWS","https://www.zara.com/sg/en/floral-print-dress-with-bows-p08134802.html","FLORAL PRINT DRESS WITH BOWS Details","S$ 69.90","Multicoloured","Flowing V-neck  short sleeved dress with bows. Features off-the shoulder detailing, Front button fastening. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573338086-14501","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","LACE WRAP TOP","https://www.zara.com/sg/en/lace-wrap-top-p03067114.html","LACE WRAP TOP Details","S$ 49.90","Black","Semi-sheer V-neck top with long sleeves. Featuring a pleated elasticated waist and interior lining.

HEIGHT OF MODEL: 177 CM / 69.6″","null"
"1573331587-12604","https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620","BARBIE ©MATTEL INC. T-SHIRT","https://www.zara.com/sg/en/barbie-%C2%A9mattel-inc--t-shirt-p04644627.html","BARBIE ©MATTEL INC. T-SHIRT Details","S$ 39.90","White","Short sleeve T-shirt with a round neckline and a Barbie ©Mattel, Inc. print. 

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573335546-13793","https://www.zara.com/sg/en/woman-knitwear-l1152.html?v1=1281621","OVERSIZED WOOL SWEATER","https://www.zara.com/sg/en/oversized-wool-sweater-p05755109.html","OVERSIZED WOOL SWEATER Details","S$ 89.90","Dark khaki","Oversized knit sweater made of a wool blend with a round neckline and long sleeves. 

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573339782-15038","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","LOOSE-FITTING TEXTURED DRESS","https://www.zara.com/sg/en/loose-fitting-textured-dress-p07901851.html","LOOSE-FITTING TEXTURED DRESS Details","S$ 45.90","Black / White","V-neck midi dress with short puff sleeves.

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573341017-15379","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","SATIN DRESS WITH BELT","https://www.zara.com/sg/en/satin-dress-with-belt-p02492158.html","SATIN DRESS WITH BELT Details","S$ 89.90","Black","Flowing dress with a collar, long sleeves, a tie belt in matching fabric and button fastening at the front. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573333338-13111","https://www.zara.com/sg/en/woman-jeans-l1119.html?v1=1281624","CARGO TROUSERS WITH POCKETS","https://www.zara.com/sg/en/cargo-trousers-with-pockets-p06147169.html","CARGO TROUSERS WITH POCKETS Details","S$ 59.90","Ecru","High waist trousers with front patch pockets, side and back flap pockets, elastic hems and zip fly and snap-button fastening.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573338775-14720","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","TULLE TOP WITH RHINESTONES","https://www.zara.com/sg/en/tulle-top-with-rhinestones-p08755218.html","TULLE TOP WITH RHINESTONES Details","S$ 49.90","Black","Crop top featuring a straight neckline, sleeves falling below the elbow with elastic trim, rhinestone appliqués and invisible side zip fastening.

HEIGHT OF MODEL: 177 CM / 69.6″","null"
"1573339487-14960","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","RUFFLED DRESS WITH BUTTONS","https://www.zara.com/sg/en/ruffled-dress-with-buttons-p07942495.html","RUFFLED DRESS WITH BUTTONS Details","S$ 69.90","Khaki","Mini dress made of a linen blend featuring a collar with V-neckline, sleeves falling below the elbow, ruffle trims and front button fastening. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″

JOIN LIFE
Care for fiber: at least 50% Sustainably Grown European Linen. 
Sustainably Grown European Linen is naturally irrigated and does not use genetically modified seeds or defoliants. An environmentally and water-friendly process.","null"
"1573342378-15792","https://www.zara.com/sg/en/woman-jackets-l1114.html?v1=1281623","CROPPED FAUX SHEARLING COAT","https://www.zara.com/sg/en/cropped-faux-shearling-coat-p02969252.html","CROPPED FAUX SHEARLING COAT Details","S$ 119.00","Grey","Coat with a lapel collar and long sleeves. Featuring front patch pockets and contrast button fastening at the front.

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573342980-15992","https://www.zara.com/sg/en/woman-outerwear-l1184.html?v1=1281618","TAILORED MASCULINE COAT","https://www.zara.com/sg/en/tailored-masculine-coat-p07948745.html","TAILORED MASCULINE COAT Details","S$ 229.00","Dark mink","Coat featuring a lapel collar, long sleeves and double welt front pockets. Double-breasted button fastening at the front. Made of a wool blend.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573338839-14741","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","CHECK TWEED JACKET","https://www.zara.com/sg/en/check-tweed-jacket-p04886250.html","CHECK TWEED JACKET Details","S$ 119.00","Black / White","Oversized jacket with a lapel collar and long sleeves. Featuring front patch pockets, frayed trims, side vents and snap-button fastening in the front. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573336100-13939","https://www.zara.com/sg/en/woman-knitwear-l1152.html?v1=1281621","ASYMMETRIC HIGH NECK SWEATER","https://www.zara.com/sg/en/asymmetric-high-neck-sweater-p09088100.html","ASYMMETRIC HIGH NECK SWEATER Details","S$ 45.90","White","Knit sweater with a high neck and asymmetric neckline with a single long sleeve.

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573339855-15059","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","FLORAL PRINT DRESS","https://www.zara.com/sg/en/floral-print-dress-p08068215.html","FLORAL PRINT DRESS Details","S$ 89.90","Multicoloured","V-neck mini dress with short puff sleeves and an A-line silhouette.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573340259-15165","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","MINI DRESS WITH BUTTONS","https://www.zara.com/sg/en/mini-dress-with-buttons-p09878186.html","MINI DRESS WITH BUTTONS Details","S$ 69.90","Light camel","A-line dress with a round neckline and short sleeves. Featuring in-seam side pockets, decorative buttons on the shoulders and a buttoned opening on the back. 

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573331443-12564","https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620","WOMEN IN ART COLLECTION ©ZOE HAWK T-SHIRT","https://www.zara.com/sg/en/women-in-art-collection-%C2%A9zoe-hawk-t-shirt-p05644926.html","WOMEN IN ART COLLECTION ©ZOE HAWK T-SHIRT Details","S$ 39.90","Printed","Short sleeve T-shirt with a round neckline and an ©Zoe Hawk 2019 print.

HEIGHT OF MODEL: 177 cm. / 5′ 9″

JOIN LIFE
Care for fiber: 100% ecologically grown cotton.
Ecologically grown cotton is grown using practices that help us protect biodiversity, such as crop rotation and the use of natural fertilisers.","null"
"1573331040-12457","https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620","OVERSIZED T-SHIRT","https://www.zara.com/sg/en/oversized-t-shirt-p00962854.html","OVERSIZED T-SHIRT Details","S$ 24.90","Oyster White","Loose-fitting T-shirt with a round neckline, short sleeves and side vents at the hem.

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573333305-13103","https://www.zara.com/sg/en/woman-jeans-l1119.html?v1=1281624","CROPPED FLARE MID-RISE JEANS","https://www.zara.com/sg/en/cropped-flare-mid-rise-jeans-p03643012.html","CROPPED FLARE MID-RISE JEANS Details","S$ 45.90","White","Faded-effect mid waist jeans made of slightly stretchy fabric for added comfort. Featuring a five-pocket design, seamless flared hems and zip fly and metal top button fastening. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573330797-12381","https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620","null","","","","","",""
"1573335124-13609","https://www.zara.com/sg/en/woman-trousers-l1335.html?v1=1281627","PRINTED FLOWING TROUSERS","https://www.zara.com/sg/en/printed-flowing-trousers-p00208629.html","PRINTED FLOWING TROUSERS Details","S$ 45.90","Pink / White","High waist trousers with an elastic inner waist and side vents at the hem. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573341658-15576","https://www.zara.com/sg/en/woman-blazers-l1055.html?v1=1281650","WAISTCOAT WITH BELT","https://www.zara.com/sg/en/waistcoat-with-belt-p09878321.html","WAISTCOAT WITH BELT Details","S$ 89.90","Sand","Sleeveless waistcoat with a lapel collar. Front flap pockets and a belt appliqué in the same fabric with a lined buckle. 

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573332705-12906","https://www.zara.com/sg/en/woman-skirts-l1299.html?v1=1281622","JACQUARD SKIRT","https://www.zara.com/sg/en/jacquard-skirt-p01165189.html","JACQUARD SKIRT Details","S$ 69.90","Oil","A-line midi skirt with a front slit at the hem and invisible side zip fastening.

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573341753-15605","https://www.zara.com/sg/en/woman-blazers-l1055.html?v1=1281650","SILVER SEQUINNED BLAZER","https://www.zara.com/sg/en/silver-sequinned-blazer-p08644855.html","SILVER SEQUINNED BLAZER Details","S$ 139.00","Silver","Long sleeve blazer with a V-neckline, pronounced shoulders and interior metal hook fastening. 

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573333386-13120","https://www.zara.com/sg/en/woman-jeans-l1119.html?v1=1281624","ZW PREMIUM QUINN PLEATED STRAIGHT JEANS","https://www.zara.com/sg/en/zw-premium-quinn-pleated-straight-jeans-p06840262.html","ZW PREMIUM QUINN PLEATED STRAIGHT JEANS Details","S$ 89.90","Black","The Quinn Pleated Straight.

High waist jeans with front pockets and back patch pockets. Featuring a faded effect, visible seams on the front and zip fly and metal top button fastening.

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573342041-15699","https://www.zara.com/sg/en/woman-jackets-l1114.html?v1=1281623","FAUX FUR COAT","https://www.zara.com/sg/en/faux-fur-coat-p08073239.html","FAUX FUR COAT Details","S$ 119.00","Ecru","Coat with a high collar and long sleeves. Featuring front welt pockets and invisible zip-up fastening in the front. 

HEIGHT OF MODEL: 177 cm. / 69.6″

JOIN LIFE
Care for fiber: 100% recycled polyester filling.
Recycled polyester is made from recycled plastic bottles and consumes less water, less energy and fewer natural resources.","null"
"1573338953-14834","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","null","","","","","",""
"1573341316-15469","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","BEJEWELLED ASYMMETRIC DRESS","https://www.zara.com/sg/en/bejewelled-asymmetric-dress-p08418218.html","BEJEWELLED ASYMMETRIC DRESS Details","S$ 69.90","Black","Short dress featuring an asymmetric neckline, single long sleeve with ruffle trim on the shoulder, bejewelled detail, side pleats and lining. 

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573332955-12975","https://www.zara.com/sg/en/woman-skirts-l1299.html?v1=1281622","CHECK PENCIL SKIRT","https://www.zara.com/sg/en/check-pencil-skirt-p08180407.html","CHECK PENCIL SKIRT Details","S$ 89.90","Orange","High waist skirt with front pockets. Featuring a front slit at the hem and zip fly and top button fastening.

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573331075-12466","https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620","CONTRASTING FABRIC T-SHIRT","https://www.zara.com/sg/en/contrasting-fabric-t-shirt-p05580453.html","CONTRASTING FABRIC T-SHIRT Details","S$ 29.90","White","T-shirt with a round neckline and short sleeves. Featuring contrast trim. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573334187-13335","https://www.zara.com/sg/en/woman-trousers-l1335.html?v1=1281627","null","","","","","",""
"1573335223-13701","https://www.zara.com/sg/en/woman-knitwear-l1152.html?v1=1281621","null","","","","","",""
"1573342782-15933","https://www.zara.com/sg/en/woman-outerwear-l1184.html?v1=1281618","CHECK COAT","https://www.zara.com/sg/en/check-coat-p08337008.html","CHECK COAT Details","S$ 299.00","Black / White","Coat featuring a lapel collar, long sleeves with pronounced shoulders, front flap pockets, chest welt pocket, contrast lining, matching belt appliqué with metal buckle and double-breasted button fastening. 

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573338156-14522","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","GOLD DOTTED MESH TOP","https://www.zara.com/sg/en/gold-dotted-mesh-top-p07251122.html","GOLD DOTTED MESH TOP Details","S$ 59.90","Black","Semi-sheer top with a round neck and long kimono sleeves. Featuring an elastic waist and a buttoned front fastening.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573341818-15642","https://www.zara.com/sg/en/woman-jackets-l1114.html?v1=1281623","OVERSIZED JACKET WITH HOOD","https://www.zara.com/sg/en/oversized-jacket-with-hood-p02969250.html","OVERSIZED JACKET WITH HOOD Details","S$ 89.90","Khaki","Oversized long sleeve jacket with a high neck and adjustable drawstring hood. Featuring front flap pockets with snap buttons, an asymmetric adjustable hem with side vents and front snap-button fastening. 

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573331351-12540","https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620","PRINTED T-SHIRT","https://www.zara.com/sg/en/printed-t-shirt-p05039634.html","PRINTED T-SHIRT Details","S$ 29.90","Black","Short sleeve T-shirt with a round neckline.

MODEL HEIGHT: 177 CM

JOIN LIFE
Care for fiber: 100% ecologically grown cotton.
Ecologically grown cotton is grown using practices that help us protect biodiversity, such as crop rotation and the use of natural fertilisers.","null"
"1573341141-15411","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","DRESS WITH SHORT FULL-BODIED SLEEVES","https://www.zara.com/sg/en/dress-with-short-full-bodied-sleeves-p05580704.html","DRESS WITH SHORT FULL-BODIED SLEEVES Details","S$ 45.90","Black","Round neck dress with short puff sleeves. 

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573332134-12738","https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620","T-SHIRT WITH ORGANZA SLEEVES","https://www.zara.com/sg/en/t-shirt-with-organza-sleeves-p05644479.html","T-SHIRT WITH ORGANZA SLEEVES Details","S$ 45.90","Oyster White","Round neck T-shirt with short, contrast organza sleeves and a slogan detail on the front. 

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573341194-15427","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","SATIN-EFFECT DRESS WITH EMBROIDERY","https://www.zara.com/sg/en/satin-effect-dress-with-embroidery-p07521316.html","SATIN-EFFECT DRESS WITH EMBROIDERY Details","S$ 89.90","Black","V-neck midi dress with spaghetti straps. Featuring contrast embroidery with sequins. 

HEIGHT OF MODEL: 177 CM / 69.6″","null"
"1573338953-14788","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","null","","","","","",""
"1573329749-11994","https://www.zara.com/sg/en/woman-suits-l1437.html?v1=1281679","null","","","","","",""
"1573336337-14000","https://www.zara.com/sg/en/woman-knitwear-l1152.html?v1=1281621","SWEATER WITH PEARL BEADS","https://www.zara.com/sg/en/sweater-with-pearl-beads-p09598172.html","SWEATER WITH PEARL BEADS Details","S$ 69.90","Grey","Knit sweater with a round neckline and long sleeves. Featuring faux pearl appliqués. 

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573331761-12642","https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620","T-SHIRT WITH FRONT PRINT","https://www.zara.com/sg/en/t-shirt-with-front-print-p05643804.html","T-SHIRT WITH FRONT PRINT Details","S$ 14.90","Black","Short sleeve T-shirt with a round neckline and a print on the front.

This item has a smaller fit than usual.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573341011-15377","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","SHORT CONTRAST JUMPSUIT","https://www.zara.com/sg/en/short-contrast-jumpsuit-p09878200.html","SHORT CONTRAST JUMPSUIT Details","S$ 89.90","Black","High neck playsuit with long sleeves. Featuring matching guipure trims and invisible zip and button fastening at the back with an opening. 

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573339907-15074","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","FRINGED DRESS","https://www.zara.com/sg/en/fringed-dress-p00387175.html","FRINGED DRESS Details","S$ 89.90","Light petrol blue","Mini dress with a high neck and open shoulders. Featuring matching fringe trims and a buttoned opening in the back.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573330727-12329","https://www.zara.com/sg/en/woman-sweatshirts-l1320.html?v1=1281548","ALICE IN WONDERLAND © DISNEY SWEATSHIRT","https://www.zara.com/sg/en/alice-in-wonderland-%C2%A9-disney-sweatshirt-p00264815.html","ALICE IN WONDERLAND © DISNEY SWEATSHIRT Details","S$ 49.90","Black","Long sleeve sweatshirt with a round neckline. Featuring ribbed trims and an Alice in Wonderland ©Disney print.

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573335433-13765","https://www.zara.com/sg/en/woman-knitwear-l1152.html?v1=1281621","KNIT SWEATER WITH POMPOMS","https://www.zara.com/sg/en/knit-sweater-with-pompoms-p00021101.html","KNIT SWEATER WITH POMPOMS Details","S$ 69.90","Blue","Sweater with a round neckline, long sleeves and matching pompom trims.

HEIGHT OF MODEL: 177 cm. / 5′ 9″","null"
"1573333525-13153","https://www.zara.com/sg/en/woman-jeans-l1119.html?v1=1281624","JEANS ZW PREMIUM HIGH RISE STRAIGHT","https://www.zara.com/sg/en/jeans-zw-premium-high-rise-straight-p06045250.html","JEANS ZW PREMIUM HIGH RISE STRAIGHT Details","S$ 89.90","Blue","The Real High Rise Straight In Arctic Bleached.

Faded high waist jeans with a five-pocket design, frayed hems and zip fly and metal button fastening at the front.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573330797-12396","https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620","null","","","","","",""
"1573333130-13030","https://www.zara.com/sg/en/woman-skirts-l1299.html?v1=1281622","TWEED SHORTS","https://www.zara.com/sg/en/tweed-shorts-p06416258.html","TWEED SHORTS Details","S$ 49.90","only one","High waist shorts with side pockets, false rear welt pockets, tab details and front button fastening.

HEIGHT OF MODEL: 177 cm. / 69.6″","null"
"1573339842-15055","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","PRINTED DRESS","https://www.zara.com/sg/en/printed-dress-p02157251.html","PRINTED DRESS Details","S$ 89.90","Black / White","Round neck dress with long sleeves, defined shoulders and elastic cuffs. Featuring a pleated waist detail and a ruffled hem with a slit on the front. Invisible zip fastening on the side and button fastening at the back with an opening.

HEIGHT OF MODEL: 177 CM / 5′ 9″","null"
"1573338869-14752","https://www.zara.com/sg/en/woman-shirts-l1217.html?v1=1281626","SEQUINNED TOP","https://www.zara.com/sg/en/sequinned-top-p02712461.html","SEQUINNED TOP Details","S$ 69.90","White","High neck top featuring long puff sleeves, lining and a buttoned opening at the back. 

HEIGHT OF MODEL: 177 CM / 69.6″","null"
"1573333259-13071","https://www.zara.com/sg/en/woman-skirts-l1299.html?v1=1281622","BELTED SKIRT WITH VOLUMINOUS HEM","https://www.zara.com/sg/en/belted-skirt-with-voluminous-hem-p08675656.html","BELTED SKIRT WITH VOLUMINOUS HEM Details","S$ 69.90","Bluish","Mini skirt with a matching lined belt. Featuring a voluminous hem and invisible back zip fastening.

HEIGHT OF MODEL: 177 CM / 69.6″","null"
"1573341293-15461","https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625","CONTRASTING TWEED DRESS","https://www.zara.com/sg/en/contrasting-tweed-dress-p08388060.html","CONTRASTING TWEED DRESS Details","S$ 69.90","Black","Short dress with a crossover V-neckline and long full sleeves with ruffled cuffs. Featuring front patch pockets and invisible zip fastening and a buttoned opening at the back.

HEIGHT OF MODEL: 177 cm. / 69.6″

JOIN LIFE
Care for fiber: TENCEL™ Lyocell. 
TENCEL™ is made from wood grown in sustainably managed forests that guarantee their reforestation and is produced in a closed cycle that is environmentally and water friendly.","null"
