,brand,title,price,description,colour,material
2054,superdown,Lacy Turtleneck Sweater(Revolve),S$ 74.00,"100% acrylic
Hand wash cold
Foldover neckline
Knit fabric
Ribbed trim
Imported",Green,[]
2055,Tularosa,Kat Sweater(Revolve),S$ 226.00,"96% acrylic 2% poly 2% metallic
Hand wash cold
Metallic threading throughout
Imported",Yellow,[]
2056,Lovers + Friends,Vik Turtleneck Dress(Revolve),S$ 268.00,"88% poly 12% nylon
Hand wash cold
Unlined
Knit fabric
Ribbed foldover neck
Imported",Black,[]
2057,Tularosa,Penny Sweater(Revolve),S$ 211.00,"47% acrylic 21% cotton 18% poly 7% nylon 6% wool 1% spandex
Hand wash cold
Rib knit fabric
Imported",Gray,[]
2058,Jack Wills,Tinsbury Classic Cable Jumper,S$ 118.90,"- Multi hue stripe knit jumper
- Crew neckline
- Unlined
- Regular fit
- Slip on style
- Merino wool",Blue Stripe,100% Merino Wool
2059,FOREVER 21,Twisted Knit Sweater,S$ 44.00,"- Solid shade plunge front twisted knitted sweater
- V-neckline
- Unlined
- Regular fit
- Slip on
- Acrylic",Black,100% Acrylic
2060,TOPSHOP,Recycled Crew Neck Jumper,S$ 79.90,"- Knitted drop shoulder jumper
- Round neckline
- Regular fit
- Slip-on style
- Long sleeves
- Ribbed hem & cuffs
- Acrylic blend",Ivory,"50% Acrylic, 50% Poly Recyc Chemical"
2061,Lovers + Friends,Thia Sweater(Revolve),S$ 197.00,"100% acrylic
Hand wash cold
Knit fabric
Intentionally distressed detail
Neckline cut-out
Imported",Blue,[]
2062,ESPRIT,Long Sleeve Button Down Cardigan,S$ 89.95,"- Monochrome buttoned cardigan
- Sizing runs one size larger
- V-neckline
- Regular fit
- Front button fastening
- Long sleeves
- Ribbed hem & cuffs
- Viscose blend
- Model wears an S and is 175cm tall",Off White,"85% Viscose, 15% Polyester"
2063,Tularosa,Trento Button Sweater(Revolve),S$ 211.00,"Indulge yourself with the soft and cozy Trento Button Sweater by Tularosa
A soft ivory-hued knit is accented with buttons along the flared sleeves for a modern finish
77% acrylic 20% nylon 3% spandex",Ivory,[]
2064,Guess,Isabelle Tie Sleeve Sweater Top,S$ 129.00,"- Solid shade tie sleeve ribbed knitted sweater
- V-neckline
- Unlined
- Slim fit
- Viscose blend
- Model wears an S and is 178cm tall",Sandy Brown,"58% Viscose, 42% Polyester"
2065,FILA,White Line Woven Jacket,S$ 228.00,"- Biker jacket design
- Good wind resistance
- Well shaped and wear-resistant
- FILA DNA elements: Classic embroidered FILA logo, EST. 1911, Biella Italia badges
- Two side zip pockets","Navy, Red",Cotton
2066,Mango,Ribbed Knit Sweater,S$ 45.90,"- Solid tone rib textured knit sweater
- Sizing runs one size larger
- V neckline
- Unlined
- Slim fit
- Slip on style
- Viscose blend",Sand,"50% Viscose, 28% Polyester, 22% Polyamide"
2067,House of Harlow 1960,X REVOLVE Marcella Sweater(Revolve),S$ 254.00,"60% cotton 40% acrylic
Hand wash cold
Rib knit and open knit fabric
Intentionally distressed detail
Imported",White,[]
2068,Zalia,Contrast Binding Cardigan,S$ 34.90,"- Wide sleeve cardigan with contrast piping details
- Open neckline
- Unlined
- Relaxed fit
- Polyblend
- Model wears an S and is 178cm tall",Dusty Pink,Blend
