web-scraper-order,web-scraper-start-url,link,link-href,title,price,color,description,material
"1573664067-2462","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Ultra Stretch Printed Leggings Pants","https://www.uniqlo.com/sg/store/women-ultra-stretch-printed-leggings-pants-4216250001.html","WOMEN Ultra Stretch Printed Leggings Pants","S$29.90","Color: COL09 BLACK","Fits beautifully so your legs look great. So comfortable you’ll forget you’re even wearing them!
- Made from Ultra Stretch fabric for a sleek design that’s extremely easy to move in.
- The elastic waist was made as thin as possible to minimize bulk around the waist.
- The simple striped pattern can by styled many ways.
- Updated for a new season! Improved to a smoother-looking texture.


                            
                                                
                          
                              MATERIAL
                53% Cotton, 32% Polyester, 15% Spandex


                            
                              CARE
                Machine wash cold, gentle cycle","53% Cotton, 32% Polyester, 15% Spandex"
"1573664087-2470","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN IDLF Corduroy Wide Pants","https://www.uniqlo.com/sg/store/women-idlf-corduroy-wide-pants-4192300011.html","WOMEN IDLF Corduroy Wide Pants","S$19.90","Color: COL09 BLACK","Flattering wide-leg cut. Corduroy keeps you warm and has authentic details.
- From our 2019 F/W Ines de la Fressange collaboration collection. Synonymous with the timeless appeal of Parisian chic.
- Full length.
- Features classic interlining detail.


                            
                                                
                          
                              MATERIAL
                100% Cotton


                            
                              CARE
                Machine wash cold, gentle cycle","100% Cotton"
"1573664092-2472","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN High Waisted Corduroy Wide Cropped Pants","https://www.uniqlo.com/sg/store/women-high-waisted-corduroy-wide-cropped-pants-4203420009.html","WOMEN High Waisted Corduroy Wide Cropped Pants","S$19.90","Color: COL01 OFF WHITE","Playful and stylish wide cropped pants.
- Made from super soft and warm 100% cotton corduroy.
- Cropped length.
- Side loops protect the corduroy while hanging.


                            
                                                
                          
                              MATERIAL
                100% Cotton


                            
                              CARE
                Machine wash cold, gentle cycle","100% Cotton"
"1573664035-2450","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN HEATTECH Ultra Stretch Denim Leggings Pants","https://www.uniqlo.com/sg/store/women-ht-ultra-stretch-denim-leggings-pants-4217490001.html","WOMEN HEATTECH Ultra Stretch Denim Leggings Pants","S$49.90","Color: COL67 Blue","HEATTECH leggings updated to Ultra Stretch fabric! Warm, soft, and extremely comfortable.
- Ultra Stretch fabric stretches easily and creates a beautiful silhouette for your legs.
- High-rise design to keep your midsection warm, too.
- The elastic waist was made as thin as possible to minimize bulk around the hips.
- Updated for a new season! HEATTECH leggings updated to Ultra Stretch fabric
- Brushed lining so you feel warm from the moment you put them on.


                            
                                                
                          
                              MATERIAL
                40% Cotton, 31% Polyester, 11% Spandex, 10% Acrylic, 8% Rayon


                            
                              CARE
                Machine wash cold, gentle cycle","40% Cotton, 31% Polyester, 11% Spandex, 10% Acrylic, 8% Rayon"
"1573663971-2425","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Denim Jersey Skirt","https://www.uniqlo.com/sg/store/women-denim-jersey-skirt-4229280003.html","WOMEN Denim Jersey Skirt","S$19.90","Color: COL09 BLACK","Relaxed around the waist for a comfortable fit. 
- Stretchy jersey fabric for lasting comfort.


                            
                                                
                          
                              MATERIAL
                96% Cotton, 4% Spandex


                            
                              CARE
                Machine wash cold","96% Cotton, 4% Spandex"
"1573663818-2406","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Scandinavian Relaco 3/4 Shorts","https://www.uniqlo.com/sg/store/women-scandinavian-relaco-34-shorts-4218370007.html","WOMEN Scandinavian Relaco 3/4 Shorts","S$19.90","Color: COL00 WHITE","Scandinavian Pattern Collection

Scandinavian Pattern Collection is a design collection created by designers who reside in Scandinavia and work in various fields. The patterns created by the Scandinavian designers are made from the heart by each and every designer and born from the Scandinavian nature and the simple daily life there.

© Maria Larsson


                            
                                                
                          
                              MATERIAL
                100% Rayon


                            
                              CARE
                Machine wash cold, gentle cycle","100% Rayon"
"1573664123-2484","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Ponte Wide Cropped Pants","https://www.uniqlo.com/sg/store/women-ponte-wide-cropped-pants-4182520011.html","WOMEN Ponte Wide Cropped Pants","S$14.90","Color: COL09 BLACK","Our elegant and comfortable ponte pants in a flattering, wide-leg crop.
- Smooth ponte fabric with stretch for easy movement.
- Newly updated with a slightly slimmer leg for a more flattering fit.
- Comfortable elastic waist.
- Designed to look great with a top tucked in.


                            
                                                
                          
                              MATERIAL
                61% Rayon, 34% Nylon, 5% Spandex


                            
                              CARE
                Machine wash cold, gentle cycle","61% Rayon, 34% Nylon, 5% Spandex"
"1573664107-2478","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Crepe Jersey Flare Wide Cropped Pants","https://www.uniqlo.com/sg/store/women-crepe-jersey-flare-wide-cropped-pants-4213850001.html","WOMEN Crepe Jersey Flare Wide Cropped Pants","S$14.90","Color: COL09 BLACK","Airy and on-trend, flared silhouette with extra volume.


                            
                                                
                          
                              MATERIAL
                100% Polyester


                            
                              CARE
                Machine wash cold, gentle cycle","100% Polyester"
"1573664134-2489","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Drape Straight Pants (Leaf Flower)","https://www.uniqlo.com/sg/store/women-drape-straight-pants-leaf-flower-4201050001.html","WOMEN Drape Straight Pants (Leaf Flower)","S$19.90","Color: COL09 BLACK","Our sleek and easy jogger pants for a relaxed style.
- 100% rayon material with an elegant drape.
- Beautiful flowing material creates a perfectly relaxed look.
- Floral print in tonal colors.


                            
                                                
                          
                              MATERIAL
                100% Rayon


                            
                              CARE
                Machine wash cold, gentle cycle","100% Rayon"
"1573663843-2413","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Satin Shorts","https://www.uniqlo.com/sg/store/women-satin-shorts-4177880035.html","WOMEN Satin Shorts","S$29.90","Color: COL09 BLACK","Cool, light shorts. Elegant satin suits any occasion.
- Made with light cotton blend material.
- The elegant sheen of satin is great for the office.
- Simple straight cut, mid-rise, above-the-knee design.
- Angled side pockets and decorative back pockets.


                            
                                                
                          
                              MATERIAL
                97% Cotton, 3% Spandex


                            
                              CARE
                Machine wash cold, gentle cycle","97% Cotton, 3% Spandex"
"1573664242-2531","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Wide Straight Pants (Brushed)","https://www.uniqlo.com/sg/store/women-wide-straight-pants-brushed-4203500012.html","WOMEN Wide Straight Pants (Brushed)","S$49.90","Color: COL09 BLACK","A trendy wide silhouette with a high-quality, wool-like texture. A versatile pair that can be dressed up or down.
- Made with rayon blend fabric that is super soft and has a beautiful drape.
- Wide straight silhouette that you can style fashionably.
- Inner elastic waistbands are very easy to wear.


                            
                                                
                          
                              MATERIAL
                66% Polyester, 32% Rayon, 2% Spandex


                            
                              CARE
                Machine wash cold","66% Polyester, 32% Rayon, 2% Spandex"
"1573664147-2494","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Fleece Pants (Nordic)","https://www.uniqlo.com/sg/store/women-fleece-pants-nordic-4198760001.html","WOMEN Fleece Pants (Nordic)","S$29.90","Color: COL19 WINE","Our warm and cozy fleece pants. Perfect for relaxing all day long.
- Made with super soft, warm micro fleece.
- In a two-tone Nordic print.
- Versatile relaxed yet tasteful design can be worn both in and outside the home.
- Cuffed hems help keep cold air out.
- Seamless side design for extra comfort.


                            
                                                
                          
                              MATERIAL
                100% Polyester


                            
                              CARE
                Machine wash cold, gentle cycle","100% Polyester"
"1573663828-2408","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Scandinavian Relaco 3/4 Shorts","https://www.uniqlo.com/sg/store/women-scandinavian-relaco-34-shorts-4204660007.html","WOMEN Scandinavian Relaco 3/4 Shorts","S$19.90","Color: COL00 WHITE","Scandinavian Pattern Collection

Scandinavian Pattern Collection is a design collection created by designers who reside in Scandinavia and work in various fields. The patterns created by the Scandinavian designers are made from the heart by each and every designer and born from the Scandinavian nature and the simple daily life there.

© Fyran


                            
                                                
                          
                              MATERIAL
                100% Rayon


                            
                              CARE
                Machine wash cold, gentle cycle","100% Rayon"
"1573664050-2456","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Ultra Stretch Leggings Pants","https://www.uniqlo.com/sg/store/women-ultra-stretch-leggings-pants-4188720022.html","WOMEN Ultra Stretch Leggings Pants","S$19.90","Color: COL18 WINE","Leggings pants with a flattering cut and an incredibly comfortable feel.
- Ultra stretch fabric creates a balance between beautiful style and ultimate mobility.
- Thin elastic waistband stays in place as you move.
- Newly updated design.


                            
                                                
                          
                              MATERIAL
                53% Cotton, 32% Polyester, 15% Spandex


                            
                              CARE
                Machine wash cold, gentle cycle","53% Cotton, 32% Polyester, 15% Spandex"
"1573664149-2495","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Drape Jogger Pants (Paint Dots)","https://www.uniqlo.com/sg/store/women-drape-jogger-pants-paint-dots-4201030010.html","WOMEN Drape Jogger Pants (Paint Dots)","S$19.90","Color: COL09 BLACK","Our sleek and easy jogger pants for a relaxed style.
- 100% rayon material with an elegant drape.
- Elastic cuffs.
- Subtle animal print in contrasting colors.


                            
                                                
                          
                              MATERIAL
                100% Rayon


                            
                              CARE
                Machine wash cold, gentle cycle","100% Rayon"
"1573663822-2407","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Scandinavian Relaco Shorts","https://www.uniqlo.com/sg/store/women-scandinavian-relaco-shorts-4204670001.html","WOMEN Scandinavian Relaco Shorts","S$19.90","Color: COL43 YELLOW","Scandinavian Pattern Collection

Scandinavian Pattern Collection is a design collection created by designers who reside in Scandinavia and work in various fields. The patterns created by the Scandinavian designers are made from the heart by each and every designer and born from the Scandinavian nature and the simple daily life there.

© Julia Heurling


                            
                                                
                          
                              MATERIAL
                100% Rayon


                            
                              CARE
                Machine wash cold, gentle cycle","100% Rayon"
"1573663983-2430","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN IDLF Wool Blended Fringe Mini Skirt","https://www.uniqlo.com/sg/store/women-idlf-wool-blended-fringe-mini-skirt-4226110007.html","WOMEN IDLF Wool Blended Fringe Mini Skirt","S$29.90","Color: COL04 GRAY","A wrap skirt with fluttering fringe. The waist buttons add a subtle design accent.
- From our 2019 F/W Ines de la Fressange collaboration collection. Synonymous with the timeless appeal of Parisian chic.
- Wrap-skirt design.
- With a fringe detail at the front.
- The waist buttons look great with a tucked-in top.
- Windowpane check.


                            
                                                
                          
                              MATERIAL
                Shell: 60% Acrylic, 40% Wool/ Lining: 100% Polyester


                            
                              CARE
                Dry Clean","Shell: 60% Acrylic, 40% Wool/ Lining: 100% Polyester"
"1573663840-2412","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Relaco Shorts (Flower)","https://www.uniqlo.com/sg/store/women-relaco-shorts-flower-4218380010.html","WOMEN Relaco Shorts (Flower)","S$19.90","Color: COL30 NATURAL","Shorts with a relaxed look and an elegant feel. Loose-fitting and short length.
- 100% rayon material with an elegant drape.
- Beautiful flowing material creates a perfectly relaxed look.
- Stylish floral print.


                            
                                                
                          
                              MATERIAL
                100% Rayon


                            
                              CARE
                Machine wash cold, gentle cycle","100% Rayon"
"1573664120-2483","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN High Waisted Tweed Culottes Pants","https://www.uniqlo.com/sg/store/women-high-waisted-tweed-culottes-pants-4241780002.html","WOMEN High Waisted Tweed Culottes Pants","S$49.90","Color: COL07 GRAY","The premium style of tweed material.
- Tweed pants with a super seasonal style.


                            
                                                
                          
                              MATERIAL
                Shell: 80% Polyester, 20% Wool/ Lining: 100% Polyester


                            
                              CARE
                Dry Clean","Shell: 80% Polyester, 20% Wool/ Lining: 100% Polyester"
"1573664027-2447","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Ultra Stretch Cropped Leggings Pants","https://www.uniqlo.com/sg/store/women-ultra-stretch-cropped-leggings-pants-4213600025.html","WOMEN Ultra Stretch Cropped Leggings Pants","S$19.90","Color: COL47 YELLOW","Superb two-way stretch for comfort and style. Casual above-the-ankle length.
- Updated ultra-stretch material with excellent two-way stretch. 
- Moderately thick fabric skims the lines of the legs.


                            
                                                
                          
                              MATERIAL
                53% Cotton, 32% Polyester, 15% Spandex


                            
                              CARE
                Machine wash cold, gentle cycle","53% Cotton, 32% Polyester, 15% Spandex"
"1573664084-2469","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Drape Straight Pants","https://www.uniqlo.com/sg/store/women-drape-straight-pants-4185650009.html","WOMEN Drape Straight Pants","S$14.90","Color: COL17 Red","Our sleek and easy jogger pants for a relaxed style.
- 100% rayon material with an elegant drape.
- Beautiful flowing material creates a perfectly relaxed look.


                            
                                                
                          
                              MATERIAL
                100% Rayon


                            
                              CARE
                Machine wash cold, gentle cycle","100% Rayon"
"1573664268-2542","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN IDLF Soft Tweed Wide Pants","https://www.uniqlo.com/sg/store/women-idlf-soft-tweed-wide-pants-4228580007.html","WOMEN IDLF Soft Tweed Wide Pants","S$49.90","Color: COL09 BLACK","Flattering wide-leg cut. Wide-leg pants in soft and cozy tweed.
- From our 2019 F/W Ines de la Fressange collaboration collection. Synonymous with the timeless appeal of Parisian chic.
- Authentic coin pocket and interlining details.


                            
                                                
                          
                              MATERIAL
                Shell: 70% Wool, 30% Nylon/ Lining: 100% Polyester


                            
                              CARE
                Dry Clean","Shell: 70% Wool, 30% Nylon/ Lining: 100% Polyester"
"1573664190-2510","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN High Rise Straight Jeans","https://www.uniqlo.com/sg/store/women-high-rise-straight-jeans-4213820030.html","WOMEN High Rise Straight Jeans","S$19.90","Colour:COL63 Blue","Our relaxed straight cut jeans with added stretch for comfort.
- Newly updated with a more relaxed cut.
- Flattering high-rise straight cut.
- Made with denim from world-famous denim maker Kaihara, Inc.
- The same comfortable stretch, now in thicker fabric for a less snug fit.
- Washed with an environmentally-friendly process that uses 90% less water, uniquely developed by our Jeans Innovation Center.
- Balanced pocket design flatters the hips. 
- Incorporates authentic vintage details like buttons, rivets and stitches into a timeless casual design.


                            
                                                
                          
                              MATERIAL
                98% Cotton, 2% Spandex


                            
                              CARE
                Machine wash cold, gentle cycle","98% Cotton, 2% Spandex"
"1573664102-2476","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Sweat Pants","https://www.uniqlo.com/sg/store/women-sweat-pants-4182480006.html","WOMEN Sweat Pants","S$29.90","Color: COL06 GRAY","A balance of comfort and elegance. In lightweight, shape-retaining material.
- The lining is made with fine yarn for extra softness.
- Made with a quick-drying, durable cotton blend.
- Sleek, tapered silhouette.


                            
                                                
                          
                              MATERIAL
                [68Blue] Body: 77% Cotton, 23% Polyester, [06Gray] Body: 73% Cotton, 27% Polyester/ Rib: 82% Cotton, 18% Polyester [09Black, 69Navy] Body: 86% Cotton, 14% Polyester/ Rib: 82% Cotton, 18% Polyester


                            
                              CARE
                Machine wash cold, gentle cycle","[68Blue] Body: 77% Cotton, 23% Polyester, [06Gray] Body: 73% Cotton, 27% Polyester/ Rib: 82% Cotton, 18% Polyester [09Black, 69Navy] Body: 86% Cotton, 14% Polyester/ Rib: 82% Cotton, 18% Polyester"
"1573663995-2435","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN J.W.Anderson Pleated Skirt","https://www.uniqlo.com/sg/store/women-j-w-anderson-pleated-skirt-4215940006.html","WOMEN J.W.Anderson Pleated Skirt","S$59.90","Color: COL38 DARK BROWN","We took the British-style pleated skirt, and designed it into a trendy midi-length with added volume.
- New LifeWear that combines UNIQLO’s focus on design, fit, fabric, and functionality with JW ANDERSON’s focus on traditional British apparel into innovative designs.
- We used traditional British coloring and patterns. 
- Achieved a soft touch that feels like wool. 
- A slightly longer line that makes it a trendy midi-length. 
- A metal buckle for improved design. 
- Easily adjustable using the interior buttons, and the smooth inner fabric makes it easy to slip on and off.


                            
                                                
                          
                              MATERIAL
                [38Dark Brown] Shell: 67% Polyester, 31% Rayon, 2% Spandex/ Lining: 100% Polyester/ Exclusive of Decoration [Other Color] Shell: 68% Polyester, 30% Rayon, 2% Spandex/ Lining: 100% Polyester/ Exclusive of Decoration


                            
                              CARE
                Machine wash cold, gentle cycle","[38Dark Brown] Shell: 67% Polyester, 31% Rayon, 2% Spandex/ Lining: 100% Polyester/ Exclusive of Decoration [Other Color] Shell: 68% Polyester, 30% Rayon, 2% Spandex/ Lining: 100% Polyester/ Exclusive of Decoration"
"1573664212-2519","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN Rayon Wide Ankle Pants","https://www.uniqlo.com/sg/store/women-rayon-wide-ankle-pants-4258660001.html","WOMEN Rayon Wide Ankle Pants","S$49.90","Color: COL09 BLACK","Has a wonderfully wide silhouette with a beautiful drape. Buttons and shapes add accents to the overall look.
- Rayon fabric offers a soft, comfortable, and clean feel. 
- Easy care and wrinkle resistant. 
- This design is accented by the V-shape at the front and the button fly on the left-hand side.

The KURTA Concept is a collection focused on cloth dresses and tunics that have been designed and developed for the India Opening in October of 2019. This is a modern design that takes inspiration from the ‘Kurat’, an item of traditional Indian clothing that also inspires customers from all over the world to wear LifeWear. These products were made in cooperation with Rina Singh, a female designer from India. 

Rina Singh

 was born in Saharanpuru, India, in 1976. After graduating from a Fashion School in India, she studied abroad in England and then at the National Fashion Institute of Technology. She established her own label in 2011. A collection of hand-crafted, hand-woven traditional Indian fabrics, dyes, prints, and embroideries are being presented in Paris and New York.


                            
                                                
                          
                              MATERIAL
                76% Rayon, 24% Polyester


                            
                              CARE
                Machine wash cold, gentle cycle","76% Rayon, 24% Polyester"
"1573663998-2436","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN IDLF Wool Blended Fringe Mini Skirt","https://www.uniqlo.com/sg/store/women-idlf-wool-blended-fringe-mini-skirt-4192440005.html","WOMEN IDLF Wool Blended Fringe Mini Skirt","S$29.90","Color: COL07 GRAY","A wrap skirt with fluttering fringe. The waist buttons add a subtle design accent.
- From our 2019 F/W Ines de la Fressange collaboration collection. Synonymous with the timeless appeal of Parisian chic.
- Wrap-skirt design.
- With a fringe detail at the front.
- The waist buttons look great with a tucked-in top.
- In a chic houndstooth check design.


                            
                                                
                          
                              MATERIAL
                Shell: 60% Acrylic, 40% Wool/ Lining: 100% Polyester


                            
                              CARE
                Dry Clean","Shell: 60% Acrylic, 40% Wool/ Lining: 100% Polyester"
"1573664281-2547","https://www.uniqlo.com/sg/store/women/bottoms/view-all-bottoms.html","WOMEN EZY Ankle Pants","https://www.uniqlo.com/sg/store/women-ezy-ankle-length-pants-4131210010.html","WOMEN EZY Ankle Pants","S$49.90","Color: COL09 BLACK","A sleek cut with superb comfort, our EZY ankle pants come in versatile solid colors.
- Updated for a new season with a flattering cut in back.
- Wrinkle-resistant rayon blend material with stretch for easy movement.
- Elegant wool-like texture.
- Newly-developed fabric with just the right heft for any temperature.
- Lightweight elastic waistband blends in with the fabric for a consistent look.


                            
                                                
                          
                              MATERIAL
                [09Black, 69Navy, 06Gray, 03Gray] Body: 69% Polyester, 29% Rayon, 2% Spandex/ Elastic Part: 52% Polyester, 21% Spandex, 17% Nylon, 10% Rayon [31Beige] Body: 69% Polyester, 29% Rayon, 2% Spandex/ Elastic Part: 48% Polyester, 21% Spandex, 18% Nylon, 13% Rayon　[10Pink] Body: 66% Polyester, 32% Rayon, 2% Spandex/ Elastic Part: 48% Polyester, 21% Spandex, 18% Nylon, 13% Rayon　[00White] Body: 69% Rayon, 29% Polyester, 2% Spandex/ Elastic Part: 48% Polyester, 21% Spandex, 18% Nylon, 13% Rayon


                            
                              CARE
                Machine wash cold, gentle cycle","[09Black, 69Navy, 06Gray, 03Gray] Body: 69% Polyester, 29% Rayon, 2% Spandex/ Elastic Part: 52% Polyester, 21% Spandex, 17% Nylon, 10% Rayon [31Beige] Body: 69% Polyester, 29% Rayon, 2% Spandex/ Elastic Part: 48% Polyester, 21% Spandex, 18% Nylon, 13% Rayon　[10Pink] Body: 66% Polyester, 32% Rayon, 2% Spandex/ Elastic Part: 48% Polyester, 21% Spandex, 18% Nylon, 13% Rayon　[00White] Body: 69% Rayon, 29% Polyester, 2% Spandex/ Elastic Part: 48% Polyester, 21% Spandex, 18% Nylon, 13% Rayon"
