,brand,title,price,description,colour,material
46,Pomelo,Double Breasted Fitted Blazer - White,S$ 59.00,"- Polyester
- Includes a double breasted button closure
- Classic, regular fit
- Includes front pockets",White,"95% Polyester, 5% Spandex"
47,WAREHOUSE,MINT JACKET,S$ 189.00,"- Solid-tone single breasted jacket
- Lined
- Peak lapel neckline
- Regular fit
- Front button closure
- 3 faux front pockets
- Viscose blend",Mint,"77% Viscose, 23% Linen"
48,ICHI,Amanda Blazer,S$ 159.90,"- Solid shade co-ord blazer
- Notch lapels
- Regular fit
- Front button fastening
- 2 front flap pockets
- Long sleeves
- Cotton
- Model wears a size 36 and is 175cm tall",Dark Navy,100% Cotton
49,Banana Republic,Pockets Milano Stitch Blazer,S$ 174.90,"- Solid tone knitted blazer with flap pocket detail
- Unlined
- Notch lapel neckline
- Regular fit
- Open front
- 2 front pockets
- Cotton blend",Black,"60% Cotton, 20% Nylon, 20% Viscose"
50,ZALORA BASICS,Basic Collarless Blazer,S$ 49.90,"- Textured collarless blazer with welt pockets
- Open front
- Lined
- Regular fit
- Polyester
- Model wears an S and is 173cm tall",Navy,Polyester
51,ZALORA,Piping Detail Blazer,S$ 59.90,"- Plain piping blazer with waist tie sash
- Lapel neckline
- Lined
- Regular fit
- 2 pockets
- Polyester",Off White/Black,100% Polyester
52,Sunnydaysweety,A Buttoned Medium And Long Sleeve Casual Suit For Women CA100809GR,S$ 110.00,"- the single grain of buckle design
-Article twill
- simple and easy",green,97%Polyester 3%Spandex
53,ZALORA,Double Breasted Blazer,S$ 49.90,"- Solid shade double-breasted blazer
- Notch lapels
- Regular fit
- Front button fastening
- Long sleeves
- Polyester blend
- Model wears an S and is 170cm tall",Plum,95% Polyester 5% Spandex
54,Its Me,Fresh And Stylish Lapel Jacket (including Belt And Beadwork),S$ 425.00,"- Temperament Reversal Collar
- Neckline Pendant Decoration
- Buttoned Long Sleeves Unsolvable
- Chest Pockets
- Side Symmetrical Pocket
- Simple One Button
- Relief Elastic Buckle Belt
- Have Lining",beige,"Fabric: 77% polyester, 20% viscose, 3% spandex; lining: 100% polyester;"
55,ZALORA BASICS,Basic Shawl Collar Blazer,S$ 44.90,"- Solid-tone blazer with front pockets
- Lined
- Shawl lapel neckline
- Regular fit
- Front button closure
- 2 front pockets
- Polyester",Mustard,100% Polyester Woven
56,Mango,Structured Linen Jacket,S$ 89.90,"- Solid hue structured blazer
- Sizing runs one size larger
- Lined
- Notched lapel
- Regular fit
- Button fastening
- 2 side pockets
- Linen",Yellow,100% Linen
57,Pieces,Boss 3/4 Blazer,S$ 69.00,"- Solid tone ruched 3/4 sleeve blazer
- Lapel collared neckline
- Lined
- Regular fit
- Slip on style
- Polyblend
- Model wears an S and is 175cm tall",Arrow Wood,"79% Polyester, 16% Viscose, 5% Elastane"
58,Miss Selfridge,Orange Apricot Button Front Blazer,S$ 99.90,"- Solid tone tailored blazer
- Notch lapel collared neckline
- Lined
- Regular fit
- Button fastening
- Polyblend
- Model wears a UK 8 and is 174cm tall",Peach,"92% Polyester, 8% Elastane"
59,ICHI,Kate Blazer,S$ 123.90,"- Houndstooth print long sleeved blazer
- Lapel neckline
- Unlined
- Slim fit
- Front button fastening
- Polyblend
- Model wears an S and is 175cm tall",Dark Olive,"74% Polyester, 22% Viscose, 4% Elastane"
60,Pomelo,Double Breasted Fitted Blazer - Yellow,S$ 59.00,"- Polyester
- Includes a double breasted button closure
- Classic, regular fit
- Includes front pockets
The Model has height: 180 cm and Bust / Waist / Hips: 82-58-88 cm.
She is wearing a size S.
This item is in Pomelo measurement, please refer to the sizing details to find your size.",Yellow,"95% Polyester, 5% Spandex"
61,TOPSHOP,Grey Double Breasted Blazer,S$ 109.00,"- Solid tone double breasted blazer
- Light shoulder padding
- Lined
- Regular fit
- Front button fastening
- 3 pockets
- Polyester blend",Grey,"82% Polyester, 17% Viscose, 1% Elastane"
62,Only CARMAKOMA,Nancy Blazer,S$ 89.00,"- Solid tone single breasted blazer
- Lined
- Notch lapel neckline
- Regular fit
- Front button closure
- Faux pockets
- Polyblend",Black,"95% Polyester, 5% Elastane"
63,ZALORA,Oversized Shirt Blazer,S$ 44.90,"- Blazer with buttoned hem and allover print
- Unlined
- Notched lapel
- Regular fit
- Front button fastening
- Self-tie waist closure
- Polyester",Navy/Multi,100% Polyester
64,ZALORA BASICS,Basic Ruched Sleeve Collarless Blazer,S$ 39.90,"- Stripe printed blazer
- Lined
- V neckline
- Regular fit
- Button fastening
- Polyester
- Model wears an S and is 173cm tall",Navy Pinstripes,[]
65,SCOTCH & SODA,Printed Double Breasted Blazer,S$ 354.90,"- Satin finish printed blazer
- Notched lapel collar
- Lined
- Regular fit
- Button fastening
- Viscose blend
- Model wears an S and is 177cm tall",Pink/Multi,52% Viscose 33% Polyester 15% Elastane
66,Pomelo,Oversize Double Breasted Blazer - Brown,S$ 59.00,"- Polyester
- Oversized style and fit
- Includes a double breasted button closure
- Includes front pockets",Brown,100% Polyester
67,ICHI,Imala Blazer,S$ 159.90,"- Solid shade lace blazer
- Lapel neckline
- Lined
- Regular fit
- Front button fastening
- Cotton blend
- Model wears a size 36 and is 175cm tall",Duffel Bag,"41% Cotton, 32% Nylon, 27% Viscose"
68,Banana Republic,Pockets Milano Stitch Blazer,S$ 174.90,"- Solid tone knitted blazer with flap pocket detail
- Unlined
- Notch lapel neckline
- Regular fit
- Open front
- 2 front pockets
- Cotton blend",Navy,"60% Cotton, 20% Nylon, 20% Viscose"
69,Banana Republic,Cadet Double Breasted Blazer,S$ 314.90,"- Blazer with allover checquer print
- Peak lapel
- Lined
- Regular fit
- Front button fastening
- 2 pockets
- Polyester blend
- Model wears a US 0 and is 174cm tall",Black/blanco,"64% Polyester, 31% Rayon/Viscose, 5% Spandex/Elastane"
70,Its Me,Fashion Casual Blazer,S$ 425.00,"- Suit Lapels
- Front Two Buckles Solvable
- Decorative Fake Double Pockets
- Slanted Pockets
- Buttoned Long Sleeves Detachable (foldable)
- Flat Hem
- Have Lining",brown,"Fabric: 92% Polyester Fiber, 8% Spandex; Lining: 100% Polyester Fiber;"
71,ZALIA BASICS,Basic Jacket,S$ 29.90,"- Scallop edge open jacket
- Round neckline
- Unlined
- Regular fit
- Polyester",White,100% Polyester
72,Vero Moda,Janey 3/4 Blazer,S$ 59.00,"- Solid shade woven long blazer
- Notch lapel neckline
- Lined
- Regular fit
- Polyblend
- Model wears a size 36 and is 173cm tall",Misty Rose,[]
73,FORCAST,Carter Collarless Blazer,S$ 89.99,"- Solid shade pleated cuffs collarless blazer
- Open front
- Unlined
- Relaxed fit
- Two front pockets
- Polyblend
- Model wears a size AUS 8 and is 175cm tall",Black,"97% Polyester, 3% Spandex"
74,ZALORA BASICS,Basic Clasp Front Blazer,S$ 34.90,"- Solid tone front clasp blazer
- V neckline
- Lined
- Regular fit
- Front clasp fastening
- Rayon blend
- Model wears an S and is 177cm tall",Mint,"95% Rayon, 5% Spandex"
75,Pomelo,Tartan Double Breasted Blazer - Brown,S$ 69.00,"- Polyester
- Spandex
- Tartan print
- Includes a double breasted button closure
- Includes front pockets
The Model has height: 178 cm and Bust / Waist / Hips: 81-64-89 cm.
She is wearing a size S.
This item is in Pomelo measurement, please refer to the sizing details to find your size.",Brown,"98% Polyester, 2% Spandex"
76,SCOTCH & SODA,Parisian Inspired Double Breasted Long Blazer,S$ 380.90,"- Double breasted blazer
- Notched lapel collar
- Lined
- Regular fit
- Button fastening
- Polyblend
- Model wears an S and is 177cm tall",Cedar Wood,65% Polyester 33% Viscose 2% Elastane
77,Mango,Essential Structured Blazer,S$ 79.90,"- Solid hue structured blazer with back slit
- Sizing runs one size larger
- Lined
- Notched lapel
- Regular fit
- Button fastening
- Cotton blend",White,"54% Cotton, 43% Polyamide, 3% Elastane"
78,ZALORA,Plus Size Co-ord Blazer With Tie,S$ 44.90,"- Waist tie casual blazer
- Lapel neckline
- Unlined
- Regular fit
- Waist tie fastening
- Polyester",Grey,100% Polyester Woven
79,Mango,Velvet Blazer,S$ 99.90,"- Solid shade velvet blazer with contrast lapels
- Sizing runs one size larger
- Notch lapel neckline
- Lined
- Regular fit
- One button fastening
- Two welt pockets
- Polyester",Black,100% Polyester
80,Tussah,Lyra Blazer,S$ 83.90,"- Solid shade tie side structured blazer
- Lapel neckline
- Lined
- Regular fit
- Self tie fastening
- Two front pockets
- Polyblend
- Model wears a size AUS 8 and is 174cm tall",Burnt Orange,"97% Polyester, 3% Elastane"
81,Pomelo,Stripe Double Breasted Blazer - Pink,S$ 59.00,"- Polyester
- Spandex
- Thick stripes
- Includes a double breasted button closure
- Relaxed fit on the body
The Model has height: 173 cm and Bust / Waist / Hips: 81-59-86 cm.
She is wearing a size S.
This item is in Pomelo measurement, please refer to the sizing details to find your size.",Pink,"95% Polyester, 5% Spandex"
82,Pomelo,Waist Tie Bell Sleeves Outerwear - Green,S$ 34.00,"- Polyester
- Spandex
- Ties at the waist
- Features a detachable fabric tie
- Bell sleeves
- Fits loosely on the body",Green,"98% Polyester, 2% Spandex"
83,Forever New,Lesley Petite Waterfall Blazer,S$ 99.99,"Good things come in small packages! This black petite waterfall blazer is part of our petites range. Team yours with tailored separates for a chic workwear ensemble. Our petites range is perfectly proportioned to fit 5’3”/161cm and under height, so you'll never have to worry about alterations ever again.
- Length: 57cm (Size AU 8)
- Tailored fit
- Luxurious woven fabrication
- Waterfall lapels
- Detachable self-tie belt
- Functional pockets
- Fully lined",Black,"Main: 100% Polyester. Lining: 93% Polyester, 7% Elastane"
84,ZALORA,Piping Detail Blazer,S$ 59.90,"- Plain piping blazer with waist tie sash
- Lapel neckline
- Lined
- Regular fit
- 2 pockets
- Polyester",Black/Off White,100% Polyester
85,ZALORA,Plus Size Casual Blazer,S$ 44.90,"- Unstructured blazer with print
- Notch lapels
- Regular fit
- Slip-on style
- Long sleeves
- Polyester",Black/White,100% Polyester
86,ZALORA,Plus Size Casual Blazer,S$ 44.90,"- Unstructured blazer with print
- Notch lapels
- Regular fit
- Slip-on style
- Long sleeves
- Polyester",Navy/Multi,100% Polyester
87,French Connection,Camanna Suiting Fitted Blazer,S$ 294.90,"- Solid toned plain blazer
- Lined
- Lapel neckline
- Regular fit
- Button fastening
- 2 pockets
- Wool blend
- Model wears a UK 8 and is 176cm tall",Utility Blue,Wool blend
88,Pieces,Boss 3/4 Blazer,S$ 69.00,"- Solid tone ruched 3/4 sleeve blazer
- Lapel collared neckline
- Lined
- Regular fit
- Slip on style
- Polyblend
- Model wears an S and is 175cm tall",Arrow Wood,"79% Polyester, 16% Viscose, 5% Elastane"
89,Mango,Buttons Tweed Blazer,S$ 139.00,"- Textured tweed blazer
- Sizing runs one size larger
- Lined
- V neckline
- Regular fit
- Button fastening
- 2 pockets
- Polyblend",Dark Yellow,"69% Polyester, 22% Wool, 4% Acrylic, 2% Cotton, 2% Viscose, 1% Polyamide"
90,Something Borrowed,Open Face Longline Blazer,S$ 44.90,"- Color-blocked casual blazer
- Notch lapels
- Regular fit
- Slip-on style
- 2 front pockets
- Long sleeves
- Polyester blend",Light Blue/Washed Blue,95% Polyester 5% Spandex
91,Pomelo,Ruffle Blazer - Pink,S$ 64.00,"- Polyester
- Spandex
- Classic, regular fit
- Includes front pockets
- Consists of bold ruffles",Pink,"95% Polyester, 5% Spandex"
92,Pieces,Jacky Blazer,S$ 69.00,"- Stripe print rolled sleeve jersey blazer
- Notch lapel neckline
- Unlined
- Regular fit
- Two side pockets
- Polyblend
- Model wears an S and is 175cm tall",Black/Stripes,"79% Polyester, 19% Viscose, 2% Elastane"
93,OVS,Women's Jackets,S$ 112.90,"- Solid tone textured blazer
- Notch lapel collared neckline
- Lined
- Regular fit
- Button fastening
- Linen blend
- Model wears a size 40 and is 174cm tall",navy peony,"55% Linen, 45% Cotton"
94,Something Borrowed,Cuffed Soft Blazer With Contrast Belt,S$ 42.90,"- Printed waist tie blazer
- Notch collar neckline
- Slim fit
- Button and waist tie fastening
- Polyester",Black,100% Polyester Woven
95,Vero Moda,Janey Short Blazer,S$ 49.00,"- Solid shade textured short blazer
- Open front
- Lined
- Slim fit
- Polyblend
- Model wears a size 36 and is 173cm tall",Ponderosa Pine,[]
96,Pomelo,Oversize Double Breasted Blazer - Cream,S$ 64.00,"- Polyester
- Fits loosely on the body
- Features button details
- Includes front pockets
The Model has height: 178 cm and Bust / Waist / Hips: 81-64-89 cm.
She is wearing a size S.
This item is in Pomelo measurement, please refer to the sizing details to find your size.",Cream,100% Polyester
97,ZALORA,Plus Size Co-Ord Lapel Blazer,S$ 49.90,"- Solid tone blazer with chest pocket
- Lined
- Shawl lapel
- Regular fit
- Hook fastening
- Has shoulder pads
- 2 side pockets
- Polyester",Fuschia,100% Polyester Woven
98,ZALORA,Piping Detail Blazer,S$ 59.90,"- Plain piping blazer with waist tie sash
- Lapel neckline
- Lined
- Regular fit
- 2 pockets
- Polyester",Off White/Black,100% Polyester
99,ONLY,Linea L/S Short Zip Blazer,S$ 79.00,"- Short style zip detail blazer
- Notched stand collar neckline
- Lined
- Regular fit
- 2 pockets
- Polyblend
- Model wears a size 36 and is 177cm tall",Night Sky/Detail:MELANGE,[]
100,OVS,Women's Jackets,S$ 112.90,"- Solid tone linen casual blazer
- Peak collar neckline
- Lined
- Regular fit
- Button fastening
- Linen blend
- Model wears a size 40 and is 174cm tall",off white,"55% Linen, 45% Cotton"
101,Forever New,Petite Lesley Waterfall Blazer,S$ 99.99,"- Draped blazer with front tie
- Waterfall lapels
- Regular fit
- Self-tie waist closure
- Long sleeves
- Polyester
- Model wears a UK 8 and is 175cm tall",Black,100% Polyester
102,Zalia,Wrap Over Blazer,S$ 39.90,"- Solid tone wrap style blazer
- Notch lapel collared neckline
- Unlined
- Regular fit
- Waist tie fastening
- Polyester",Lt Brown,100% Cotton Polyster Blend
103,ZALORA,Longline Blazer,S$ 49.90,"- Solid tone textured longline blazer
- V neckline
- Lined
- Regular fit
- Button fastening
- Polyester",Black,100% Polyester
104,Something Borrowed,Striped Blazer,S$ 44.90,"- Checked pattern blazer
- Unlined
- Lapel neckline
- Regular fit
- Button fastening
- Polyester
- Model wears an S and is 174cm tall",Light Blue,100% Polyester
105,Mango,Linen Blazer Suit,S$ 129.00,"- Stripe print structured design linen blazer
- Sizing runs one size larger
- Lapel neckline
- Lined
- Regular fit
- Front button fastening
- Linen",Natural White,100% Linen
106,NA-KD,Contrast Buttons Blazer,S$ 119.90,"- Double breasted classic blazer
- Lapel neckline
- Lined
- Regular fit
- Button fastening
- Polyblend",Yellow,"94% Polyester, 6% Elastane"
107,SCOTCH & SODA,Parisian Inspired Double Breasted Long Blazer,S$ 380.90,"- Double breasted blazer
- Notched lapel collar
- Lined
- Regular fit
- Button fastening
- Polyblend
- Model wears an S and is 177cm tall",Combo M,65% Polyester 33% Viscose 2% Elastane
108,Forever New,Hartz Linen Windowpane,S$ 139.99,"In an on-trend windowpane check, this cream double-breasted linen-blend blazer will see you stylishly from work to weekend. Add a wide leg pant and court heel to finish the look.
Size runs large. Please choose a size down from your usual size. 
- Regular fit 
- Lightweight linen-blend fabrication
- Notched lapels 
- Black buttons 
- Concealed centre single button fastening
- Functional pockets
- Fully lined",Windowpane Check,"Outer: 50% Linen, 50% Viscose. Lining: 100% Cotton"
109,Mango,Essential Structured Blazer,S$ 79.90,"- Solid hue structured blazer with back slit
- Sizing runs one size larger
- Lined
- Notched lapel
- Regular fit
- Button fastening
- Cotton blend",White,"54% Cotton, 43% Polyamide, 3% Elastane"
110,River Island,Polly No Popper Blazer,S$ 98.90,"- Textured blazer with runched sleeves
- Notch lapel
- Lined
- Regular fit
- Slip on style
- Polyester
- Model wears a UK 8 and is 180cm tall",Pink,[]
111,NOBASIC,Fringed Dress Blazer,S$ 266.00,"- Black long jacket with fringed hem
- Lined
- Front button closure
- 2 front pockets
- Can be wear as a dress
- Woven fabric
- Poly blend
- Our model wears a size S and is 5'10"" tall",black,SHELL FARBIC: 100% POLYESTER LINING: 100%POLYESTER
112,ZALORA,Double Breasted Blazer With Pockets,S$ 44.90,"- Solid tone plain blazer with decorative pockets
- Unlined
- Notched lapel neckline
- Regular fit
- Front button closure
- 2 faux front pockets
- Polyester",Beige,100% Polyester
113,Pomelo,Single Button Fitted Blazer - Mustard,S$ 59.00,"- Polyester
- Classic, regular fit
- Includes a single button closure",Mustard,100% Polyester
114,SCOTCH & SODA,Printed Pyjama Blazer,S$ 230.90,"- All over printed pyjama blazer
- Lapel neckline
- Unlined
- Regular fit
- Button fastening
- 2 pockets
- Polyester
- Model wears an S and is 177cm tall",Combo F,[]
115,TOPSHOP,Camel Suit Double Breasted Blazer,S$ 109.00,"- Solid shade structured blazer
- Notch lapels
- Regular fit
- Front button fastening
- 3 front pockets
- Long sleeves
- Back hem split
- Polyester blend",Camel,"77% Polyester, 17% Viscose, 6% Elastane"
116,ZALORA,Crop Bolero,S$ 44.90,"- Solid tone crop blazer
- Notch collar neckline
- Lined
- Regular fit
- Polyester
- Model wears an S and is 181cm tall",Navy,100% Polyester
117,ZALORA,Oversized Shirt Blazer,S$ 44.90,"- Blazer shirt with buttoned hem and allover print
- Unlined
- Notched lapel
- Regular fit
- Front button fastening
- Self-tie waist closure
- Polyester
- Model wears an S and is 181cm tall",Green/Multi,100% Polyester
118,Mango,Check Structured Blazer,S$ 99.90,"- Checkered print structured blazer
- Sizing runs one size larger
- Notch lapel collared neckline
- Lined
- Regular fit
- Button fastening
- Polyblend",Grey,"63% Polyester, 23% Viscose, 7% Linen, 4% Lyocell, 3% Elastane"
119,Mango,Check Structured Blazer,S$ 99.90,"- Checkered print structured blazer
- Sizing runs one size larger
- Notch lapel collared neckline
- Lined
- Regular fit
- Button fastening
- Polyblend",Grey,"63% Polyester, 23% Viscose, 7% Linen, 4% Lyocell, 3% Elastane"
120,ZALORA,Longline Blazer,S$ 49.90,"- Solid tone textured longline blazer
- V neckline
- Lined
- Regular fit
- Button fastening
- Polyester",Dusty Pink,100% Polyester
121,Mango,Essential Structured Blazer,S$ 59.90,"- Structured blazer with quilt detail
- Sizing runs one size larger
- Notch lapels
- Regular fit
- Front button fastening
- 2 front pockets
- Long sleeves
- Polyester blend",Grey,"64% Polyester, 34% Viscose, 2% Elastane"
122,Syomirizwa Gupta,Paintbrush Jacket,S$ 139.90,"- Printed blazer
- Peak collar neckline
- Unlined
- Regular fit
- Button fastening
- 1 pocket design
- Matte satin
- Model wears an S and is 174cm tall",Black/White,[]
123,ONLY,Mimi Long Sleeve Check Blazer,S$ 99.00,"- Blazer with allover print
- Light padding
- Lined
- Regular fit
- Front button fastening
- 2 pockets
- Polyester blend
- Model wears a size 36 and is 177cm tall",Oatmeal/Checks:W. BLACK/ARGAN OIL,"65% Polyester, 32% Viscose, 3% Elastane"
124,A-IN GIRLS,Temperament Lapel Check Short Coat,S$ 260.00,"The Latest Korean Fashion Hot Selection
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier","black,white","53.5% Polyester Fiber, 18% Cotton, 13.5% Viscose, 8% Acrylic, 6% Nylon, 1% Other Fiber; Lining/Filler: 100% Polyester Fiber;"
125,ZALORA,Crop Bolero,S$ 44.90,"- Solid tone crop blazer
- Notch collar neckline
- Lined
- Regular fit
- Polyester
- Model wears an S and is 181cm tall",Plum,100% Polyester
126,MISSGUIDED,Off Shoulder Crepe Blazer Top,S$ 47.90,"- Bardot top with front tie
- Off-shoulder neckline
- Regular fit
- Self-tie waist closure
- Long sleeves
- Polyester blend",White,Blend
127,Miss Selfridge,I:Buttrmilk Wren Blazer,S$ 99.90,"- Solid tone blazer
- Peak collar neckline
- Lined
- Regular fit
- Button fastening
- Polyblend
- Model wears a UK 6 and is 176cm tall",Yellow,"92% Polyester, 8% Elastane"
128,ZALORA BASICS,Basic Collarless Blazer With Zip Pockets,S$ 34.90,"- Solid toned blazer
- Open front
- Unlined
- Regular fit
- Polyblend",Red,97% Polyester 3% Spandex
129,Something Borrowed,Relaxed Gingham Blazer,S$ 39.90,"- Check print open front blazer
- Unlined
- Notched lapel neckline
- Regular fit
- Polyester",Light Blue,100% Polyester Woven
130,WAREHOUSE,SINGLE BREASTED BLAZER,S$ 129.00,"- Double button up blazer
- Collared neckline
- Lined
- Regular fit
- Button fastening
- Polyblend
- Model wears a UK 8 and is 173cm tall",BLACK,"MAIN: 62% Polyester, 34% Viscose, 4% Elastane"
131,ZALORA BASICS,Basic Collarless Blazer With Zip Pockets,S$ 34.90,"- Solid toned blazer
- Open front
- Unlined
- Regular fit
- Polyblend",Black,97% Polyester 3% Spandex
132,Mango,Structured Crepe Blazer,S$ 139.00,"- Solid toned blazer
- Lined
- Lapel neckline
- Button fastening
- Polyester",Black,100% Polyester
