web-scraper-order,web-scraper-start-url,link,link-href,title,price,colour,description,material
1573331017-12451,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,FADED-EFFECT T-SHIRT WITH SLOGAN,https://www.zara.com/sg/en/faded-effect-t-shirt-with-slogan-p04424851.html,FADED-EFFECT T-SHIRT WITH SLOGAN Details,S$ 19.90,Khaki,"Short sleeve T-shirt with a round neckline and a slogan on the front.

Due to the dyeing process, the print on each T-shirt is unique and may differ from what is shown in the photo.

HEIGHT OF MODEL: 177 cm. / 5′ 9″

JOIN LIFE
Care for fiber: 100% ecologically grown cotton.
Ecologically grown cotton is grown using practices that help us protect biodiversity, such as crop rotation and the use of natural fertilisers.",null
1573341412-15501,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,COMBINED PLEATED JUMPSUIT,https://www.zara.com/sg/en/combined-pleated-jumpsuit-p08741257.html,COMBINED PLEATED JUMPSUIT Details,S$ 89.90,Black,"Combined sleeveless V-neck jumpsuit. Side pockets. Featuring matching fabric detail and back in-seam zip fastening.

HEIGHT OF MODEL: 177 cm. / 69.6″",null
1573330797-12369,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,null,,,,,,
1573330797-12397,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,null,,,,,,
1573340352-15193,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,KNIT JUMPSUIT WITH POCKETS,https://www.zara.com/sg/en/knit-jumpsuit-with-pockets-p06216100.html,KNIT JUMPSUIT WITH POCKETS Details,S$ 69.90,Black,"Knit culotte jumpsuit featuring a round neckline, straps and front patch pockets.

HEIGHT OF MODEL: 177 CM / 69.6″",null
1573340511-15237,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,PRINTED DRESS,https://www.zara.com/sg/en/printed-dress-p02183252.html,PRINTED DRESS Details,S$ 89.90,Red,"Flowing, round neck dress with sleeves falling below the elbow. Featuring a ruffled hem and a buttoned opening in the back. 

MODEL HEIGHT: 177 CM",null
1573339918-15077,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,,https://www.zara.com/sg/en/-p07928055.html,Details,S$ 159.00,Ecru,null,null
1573331876-12665,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,LISA SIMPSON™ T-SHIRT,https://www.zara.com/sg/en/lisa-simpson%E2%84%A2-t-shirt-p04644629.html,LISA SIMPSON™ T-SHIRT Details,S$ 39.90,Charcoal,"Round neck, short sleeved t-shirt. Contrasting printed detail from The Simpsons TM & © Twentieth Century Fox Film Corporation. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″",null
1573339279-14914,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,METALLIC THREAD DRESS,https://www.zara.com/sg/en/metallic-thread-dress-p05189909.html,METALLIC THREAD DRESS Details,S$ 39.90,Silver,"Sleeveless dress with a round neckline and metallic thread detail.

HEIGHT OF MODEL: 177 CM / 5′ 9″",null
1573339667-15008,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,CAMISOLE DRESS,https://www.zara.com/sg/en/camisole-dress-p09479048.html,CAMISOLE DRESS Details,S$ 69.90,Black,"Dress featuring a cowl neckline and adjustable thin straps. 

MODEL HEIGHT: 177 CM",null
1573330967-12439,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,COMBINED SATIN BODYSUIT,https://www.zara.com/sg/en/combined-satin-bodysuit-p01971900.html,COMBINED SATIN BODYSUIT Details,S$ 45.90,Terracotta,"Flowing bodysuit with a plunging V-neckline, short sleeves and snap-button fastening on the bottom. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″",null
1573339707-15017,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,TULLE AND LACE DRESS,https://www.zara.com/sg/en/tulle-and-lace-dress-p02878462.html,TULLE AND LACE DRESS Details,S$ 69.90,Black,"Dress with a straight neckline, short full sleeves, lining and matching lace detail. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″",null
1573340684-15286,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,FLORAL PRINT DRESS,https://www.zara.com/sg/en/floral-print-dress-p08514161.html,FLORAL PRINT DRESS Details,S$ 69.90,Multicoloured,"Flowing dress with a high elastic V-neck and long sleeves. Lined. Adjustable drawstring waist. 

HEIGHT OF MODEL: 177 CM / 5′ 9″",null
1573339142-14882,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,CONTRAST DRESS,https://www.zara.com/sg/en/contrast-dress-p00085629.html,CONTRAST DRESS Details,S$ 45.90,Oyster White,"Loose-fitting short sleeve V-neck dress with matching shade hem detail. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″",null
1573330922-12428,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,T-SHIRT WITH TURN-UP SLEEVES,https://www.zara.com/sg/en/t-shirt-with-turn-up-sleeves-p01887152.html,T-SHIRT WITH TURN-UP SLEEVES Details,S$ 19.90,Beige,"Round neck T-shirt with short turn-up sleeves. 

HEIGHT OF MODEL: 177 CM / 5′ 9″

JOIN LIFE
Care for fiber: 100% ecologically grown cotton.
Ecologically grown cotton is grown using practices that help us protect biodiversity, such as crop rotation and the use of natural fertilisers.",null
1573330927-12429,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,GATHERED T-SHIRT,https://www.zara.com/sg/en/gathered-t-shirt-p05039456.html,GATHERED T-SHIRT Details,S$ 29.90,beige-pink,"Sleeveless high neck T-shirt with gathered sections and stretch detail. 

HEIGHT OF MODEL: 177 CM / 5′ 9″",null
1573338953-14790,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,null,,,,,,
1573332009-12702,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,ALICE IN WONDERLAND ©DISNEY T-SHIRT,https://www.zara.com/sg/en/alice-in-wonderland-%C2%A9disney-t-shirt-p04770803.html,ALICE IN WONDERLAND ©DISNEY T-SHIRT Details,S$ 39.90,White,"Round neck T-shirt with short sleeves. Featuring an Alice in Wonderland ©Disney print on the front and back. 

HEIGHT OF MODEL: 177 cm. / 69.6″",null
1573330797-12366,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,null,,,,,,
1573340609-15265,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,EMBROIDERED DRESS,https://www.zara.com/sg/en/embroidered-dress-p06428024.html,EMBROIDERED DRESS Details,S$ 139.00,Pink marl,"Dress with a V-neckline and long sleeves. Featuring an adjustable drawstring waist, contrast embroidered appliqués and front button fastening. 

HEIGHT OF MODEL: 177 cm. / 69.6″",null
1573341251-15447,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,POLKA DOT MINI DRESS,https://www.zara.com/sg/en/polka-dot-mini-dress-p03198258.html,POLKA DOT MINI DRESS Details,S$ 69.90,Black,"Short dress with a high neck and long sleeves. Featuring a ruffled hem and front fastening with covered buttons. 

HEIGHT OF MODEL: 177 cm. / 69.6″",null
1573339792-15041,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,PRINTED MIDI DRESS,https://www.zara.com/sg/en/printed-midi-dress-p08351222.html,PRINTED MIDI DRESS Details,S$ 89.90,beige,"A-line dress with a V-neckline and long sleeves with elastic cuffs. Featuring shirring on the shoulders, matching ruffle trims, lining and front button fastening.

HEIGHT OF MODEL: 177 CM / 5′ 9″",null
1573330797-12379,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,null,,,,,,
1573338953-14826,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,null,,,,,,
1573340291-15175,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,PRINTED MIDI DRESS,https://www.zara.com/sg/en/printed-midi-dress-p07200030.html,PRINTED MIDI DRESS Details,S$ 89.90,Multicoloured,"V-neck dress with long sleeves. Featuring bows on the sleeves, pleats at the waist and interior lining. Button fastening at the front with matching lined buttons. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″",null
1573332176-12750,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,SEVEN DWARFS ©DISNEY T-SHIRT,https://www.zara.com/sg/en/seven-dwarfs-%C2%A9disney-t-shirt-p00962455.html,SEVEN DWARFS ©DISNEY T-SHIRT Details,S$ 39.90,White,"Short sleeve T-shirt with a round neckline. Featuring a front print from Snow White and the Seven Dwarfs ©Disney. 

HEIGHT OF MODEL: 177 cm. / 69.6″",null
1573331062-12463,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,DUMBO T-SHIRT,https://www.zara.com/sg/en/dumbo-t-shirt-p00962452.html,DUMBO T-SHIRT Details,S$ 39.90,White,"Short sleeve T-shirt with a round neckline and contrast Dumbo ©Disney print on the front.

HEIGHT OF MODEL: 177 cm. / 5′ 9″",null
1573341119-15405,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,FLORAL PRINT MIDI DRESS,https://www.zara.com/sg/en/floral-print-midi-dress-p08691180.html,FLORAL PRINT MIDI DRESS Details,S$ 89.90,Multicoloured,"Semi-sheer dress with a slot collar and long sleeves. Featuring lining, gathered seams, a ruffled hem and front button fastening. 

HEIGHT OF MODEL: 177 cm. / 69.6″",null
1573340899-15342,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,PRINTED NEEDLECORD DRESS,https://www.zara.com/sg/en/printed-needlecord-dress-p00387191.html,PRINTED NEEDLECORD DRESS Details,S$ 69.90,Blue,"High neck mini dress with long sleeves, front patch pockets and button fastening at the back with an opening.

HEIGHT OF MODEL: 177 cm. / 69.6″",null
1573340693-15288,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,ANIMAL PRINT DRESS,https://www.zara.com/sg/en/animal-print-dress-p08633118.html,ANIMAL PRINT DRESS Details,S$ 119.00,Leopard,"High collar long sleeve midi dress featuring a bow and a V-neck. Elasticated cuffs and waist. Lining on the inside. 

HEIGHT OF MODEL 177 cm. / 69.6″",null
1573332096-12727,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,BASIC T-SHIRT,https://www.zara.com/sg/en/basic-t-shirt-p05039316.html,BASIC T-SHIRT Details,S$ 24.90,White,"V-neck T-shirt with long sleeves.

HEIGHT OF MODEL: 177 cm. / 5′ 9″",null
1573340897-15341,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,SUEDE EFFECT DRESS,https://www.zara.com/sg/en/suede-effect-dress-p05070635.html,SUEDE EFFECT DRESS Details,S$ 45.90,Dark khaki,"Sleeveless dress with a round neckline and front welt pockets. Featuring side slits at the hem and back zip fastening hidden in the seam. 

HEIGHT OF MODEL: 177 CM / 5′ 9″",null
1573340780-15312,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,DENIM DRESS WITH DIAMANTÉ BELT,https://www.zara.com/sg/en/denim-dress-with-diamant%C3%A9-belt-p06164196.html,DENIM DRESS WITH DIAMANTÉ BELT Details,S$ 119.00,Mid-blue,"Short faded dress with a collar and long sleeves. Featuring front pockets, rear patch pockets, decorative flaps on the chest, contrast bejewelled belt appliqué and front button fastening. 

HEIGHT OF MODEL: 177 cm. / 69.6″",null
1573338953-14787,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,null,,,,,,
1573338953-14841,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,null,,,,,,
1573339663-15007,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,LAYERED DRESS,https://www.zara.com/sg/en/layered-dress-p07827824.html,LAYERED DRESS Details,S$ 89.90,Black,"Flowing dress with a V-neckline, short sleeves and in-seam side pockets. 

HEIGHT OF MODEL: 177 CM / 5′ 9″",null
1573330797-12392,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,null,,,,,,
1573338953-14816,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,null,,,,,,
1573339963-15088,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,FLORAL PRINT DRESS,https://www.zara.com/sg/en/floral-print-dress-p08034136.html,FLORAL PRINT DRESS Details,S$ 69.90,Multicoloured,"Flowing dress with a round neckline and sleeves falling below the elbow. Featuring a ruffle trim in matching fabric and a buttoned opening at the back. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″",null
1573331390-12551,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,T-SHIRT WITH FULL SLEEVES,https://www.zara.com/sg/en/t-shirt-with-full-sleeves-p05644709.html,T-SHIRT WITH FULL SLEEVES Details,S$ 45.90,Ecru,"V-neck T-shirt with short puff sleeves.

HEIGHT OF MODEL: 177 cm. / 5′ 9″

JOIN LIFE
Care for fibre: At least 50% recycled polyester.
Recycled polyester is made from recycled plastic bottles and consumes less water, less energy and fewer natural resources.",null
1573331231-12507,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,BASIC RIBBED T-SHIRT,https://www.zara.com/sg/en/basic-ribbed-t-shirt-p04770630.html,BASIC RIBBED T-SHIRT Details,S$ 19.90,Oyster White,"High neck vest top. 

HEIGHT OF MODEL: 177 cm. / 5′ 9″",null
1573339239-14906,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,RUFFLED JUMPSUIT WITH BELT,https://www.zara.com/sg/en/ruffled-jumpsuit-with-belt-p07737507.html,RUFFLED JUMPSUIT WITH BELT Details,S$ 199.00,Black,"Jumpsuit with a straight neckline and ruffle trim. Featuring adjustable and removable thin straps, elastic detail on the back, matching fabric belt with embellished buckle and invisible back zip fastening.

HEIGHT OF MODEL: 177 cm. / 5′ 9″",null
1573340362-15196,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,SNAKESKIN PRINT DRESS,https://www.zara.com/sg/en/snakeskin-print-dress-p09878183.html,SNAKESKIN PRINT DRESS Details,S$ 89.90,Snake,"Long sleeve dress featuring a high collar with tied detail, a V-neck, elastic waist detail, decorative lined buttons and a ruffled hem with a slit on the front. 

HEIGHT OF MODEL: 177 CM / 5′ 9″",null
1573339355-14930,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,LOOSE-FITTING TEXTURED DRESS,https://www.zara.com/sg/en/loose-fitting-textured-dress-p05039806.html,LOOSE-FITTING TEXTURED DRESS Details,S$ 45.90,Ecru,"Loose-fitting dress featuring a V-neckline, sleeves falling below the elbow with elastic trim and pleated details.

HEIGHT OF MODEL: 177 CM / 5′ 9″",null
1573340712-15293,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,CRINKLE EFFECT BELTED DRESS,https://www.zara.com/sg/en/crinkle-effect-belted-dress-p08137529.html,CRINKLE EFFECT BELTED DRESS Details,S$ 159.00,Black,"Johnny collar dress with long sleeves. Featuring long sleeves with slits on the cuffs, front patch pockets with flaps, a belt detail with metal buckle and side vents at the hem.

HEIGHT OF MODEL: 177 CM / 5′ 9″",null
1573332148-12742,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,FADED-EFFECT T-SHIRT WITH LONG SLEEVES,https://www.zara.com/sg/en/faded-effect-t-shirt-with-long-sleeves-p00962636.html,FADED-EFFECT T-SHIRT WITH LONG SLEEVES Details,S$ 29.90,Indigo,"Loose-fitting round neck T-shirt with long sleeves.

Due to the dyeing process, the print on each T-shirt is unique and may differ from what is shown in the photo.

HEIGHT OF MODEL: 177 CM / 5′ 9″",null
1573331561-12596,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,RUBBERISED PRINT T-SHIRT,https://www.zara.com/sg/en/rubberised-print-t-shirt-p05580708.html,RUBBERISED PRINT T-SHIRT Details,S$ 29.90,White,"T-shirt with a round neckline, short sleeves and a rubberised floral print.

HEIGHT OF MODEL: 177 cm. / 69.6″",null
1573331897-12671,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,T-SHIRT WITH CONTRAST SLEEVES,https://www.zara.com/sg/en/t-shirt-with-contrast-sleeves-p00264460.html,T-SHIRT WITH CONTRAST SLEEVES Details,S$ 45.90,Ecru,"T-shirt featuring a round neckline, long sleeves with combined wide cuffs and a contrast slogan detail on the front. 

HEIGHT OF MODEL: 177 cm. / 69.6″",null
1573332265-12777,https://www.zara.com/sg/en/woman-tshirts-l1362.html?v1=1281620,CONTRAST ASYMMETRIC T-SHIRT,https://www.zara.com/sg/en/contrast-asymmetric-t-shirt-p04770644.html,CONTRAST ASYMMETRIC T-SHIRT Details,S$ 45.90,Brown / Taupe,"Long sleeve T-shirt with a round neckline and an asymmetric hem with side vents.

HEIGHT OF MODEL: 177 cm. / 69.6″",null
1573340346-15191,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,SEQUIN MINI DRESS,https://www.zara.com/sg/en/sequin-mini-dress-p04786289.html,SEQUIN MINI DRESS Details,S$ 119.00,Grey,"Dress with a straight neckline and long puff sleeves. Featuring a tie belt in the same fabric and invisible zip fastening at the back. 

HEIGHT OF MODEL: 177 cm. / 69.6″",null
1573339451-14951,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,OFF-THE-SHOULDER DRESS,https://www.zara.com/sg/en/off-the-shoulder-dress-p09878163.html,OFF-THE-SHOULDER DRESS Details,S$ 89.90,Red,"Dress with a straight neckline, short sleeves, open shoulders, smocked detail and front vent at the hem. 

HEIGHT OF MODEL: 177 CM / 5′ 9″",null
1573339924-15079,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,DENIM SHIRT DRESS,https://www.zara.com/sg/en/denim-shirt-dress-p08197041.html,DENIM SHIRT DRESS Details,S$ 59.90,Anthracite grey,"Short dress with a shirt collar and long sleeves. Featuring side pockets, front patch pockets, side vents at the hem and button fastening at the front with metal buttons.

HEIGHT OF MODEL: 177 CM / 5′ 9″

JOIN LIFE
Care for fiber: At least 65% ecologically grown cotton.
Ecologically grown cotton is grown using practices that help us protect biodiversity, such as crop rotation and the use of natural fertilisers.",null
1573340630-15269,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,FLORAL PRINT DRESS,https://www.zara.com/sg/en/floral-print-dress-p00097222.html,FLORAL PRINT DRESS Details,S$ 69.90,Multicoloured,"Flowing dress featuring a high neck with tied detail, long sleeves, elastic cuffs and a ruffled hem. 

HEIGHT OF MODEL: 177 cm. / 69.6″",null
1573341476-15522,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,FLORAL ORGANZA DRESS,https://www.zara.com/sg/en/floral-organza-dress-p08808658.html,FLORAL ORGANZA DRESS Details,S$ 89.90,Bluish,"Dress with a round neckline and long sleeves. Featuring lining, gathering at the waist, contrast floral print, a ruffled hem and invisible back zip fastening. 

HEIGHT OF MODEL: 177 CM / 69.6″",null
1573340872-15334,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,ELASTICATED DRESS,https://www.zara.com/sg/en/elasticated-dress-p04770647.html,ELASTICATED DRESS Details,S$ 79.90,Wine,"Loose-fitting low-cut V-neck dress featuring wide, gathered long sleeves. Stretch crossover detail at the waist. 

HEIGHT OF MODEL: 177 cm. / 69.6″",null
1573341024-15381,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,TEXTURED POLKA DOT DRESS,https://www.zara.com/sg/en/textured-polka-dot-dress-p02157261.html,TEXTURED POLKA DOT DRESS Details,S$ 119.00,Green / Ecru,"V-neck dress with long sleeves and elasticated smocked cuffs. Featuring lining and front button fastening with matching covered buttons.

HEIGHT OF MODEL: 177 cm. / 69.6″",null
1573340204-15149,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,SEQUINNED DRESS,https://www.zara.com/sg/en/sequinned-dress-p07790019.html,SEQUINNED DRESS Details,S$ 229.00,Silver,"Long V-neck dress with long sleeves. Front slit at hem. Front fastening with lined buttons.

HEIGHT OF MODEL: 177 CM / 5′ 9″",null
1573339376-14935,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,VOLUMINOUS TEXTURED DRESS,https://www.zara.com/sg/en/voluminous-textured-dress-p04215900.html,VOLUMINOUS TEXTURED DRESS Details,S$ 45.90,Black,"Short V-neck dress featuring short puff sleeves and a belt in the same fabric with lined buckle.

HEIGHT OF MODEL: 177 CM / 5′ 9″",null
1573341299-15463,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,PRINTED MIDI DRESS,https://www.zara.com/sg/en/printed-midi-dress-p08342342.html,PRINTED MIDI DRESS Details,S$ 89.90,32,"Midi dress with a round neckline and long sleeves. Featuring a seam with gathering at the waist, in-seam side pockets and a buttoned opening at the back.

HEIGHT OF MODEL: 177 CM / 69.6″",null
1573339599-14990,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,PLEATED DRESS,https://www.zara.com/sg/en/pleated-dress-p02157236.html,PLEATED DRESS Details,S$ 89.90,Sea green,"Dress featuring an elastic straight neckline, short cape sleeves, lining, an elastic waist and a contrast belt. 

HEIGHT OF MODEL: 177 CM / 5′ 9″",null
1573340219-15154,https://www.zara.com/sg/en/woman-dresses-l1066.html?v1=1281625,CHECK DRESS,https://www.zara.com/sg/en/check-dress-p08442619.html,CHECK DRESS Details,S$ 89.90,Black,"Loose-fitting V-neck dress with long sleeves and elastic cuffs. Featuring a ruffled hem. 

HEIGHT OF MODEL: 177 cm. / 69.6″",null
