,brand,title,price,description,colour,material
468,adidas,Adidas Phx Jacket W,S$ 150.00,"- adidas performance
- Best for training
- Brand logo reflective training zip through jacket
- High neckline
- Slim fit
- Zip fastening
- 2 pocket design
- Polyester
- Model wears an S and is 176cm tall",Black,100% Polyester
469,Its Me,Fashion Wild Slim Jacket,S$ 299.00,"- Simple Splicing Collar
- Decorative Pocket
- The Placket Texture Button Can Be Solved
- Polka-Colored Contrast Cuffs
- Fine Edging Technique",pink,100% polyester fiber
470,Running Bare,Playing The Field Cropped Bomber Jacket,S$ 163.90,"- Solid toned cropped jacket
- Unlined
- Collar neckline
- Regular fit
- Zip fastening
- 2 pockets
- Polyblend
- Model wears a size AUS 8 and is 175cm tall",Black,[]
471,Max Studio,Woven Ruched Sleeve Jacket,S$ 83.90,"- Stripe print jacket
- Sizing runs one size larger
- Unlined
- Lapel neckline
- Regular fit
- Button fastening
- 2 pockets
- Linen blend
- Model wears an S and is 174cm tall",Navy/Natural Mini Stripe,55% Linen 45% Rayon
472,Alpha Style,Kameko Embellished Parka,S$ 338.00,"- All over floral embroidery
- Zipper and snap front
- Two side military flap pockets
- Garment dyed
- Unlined
- In-waist drawstring",Black,[]
473,BDG by Urban Outfitters,Fluffy Cord Puffer Jacket,S$ 187.90,"- Solid tone turtleneck ribbed puffer jacket
- Turtleneck neckline
- Lined
- Regular fit
- Zip fastening
- 2 pocket design
- Polyester
- Model wears an S and is 177cm tall",Brick,100% Polyester
474,A-IN GIRLS,Ammonia Waist Hooded Knit Jacket,S$ 199.00,"The Latest Korean Fashion Hot Selection
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier",black,"50.5% Viscose, 29.5% Polyester, 20% Nylon"
475,ESPRIT,Panelled Leather Jacket,S$ 399.95,"- Solid shade panelled leather jacket with gold tone zippers
- Sizing runs one size larger
- Stand collar
- Lined
- Regular fit
- Front zip fastening
- Two zip pockets
- Lamb leather
- Model wears a size 36 and is 173cm tall",Terracotta,100% Lamb Leather
476,Jack Wills,Piper Hooded Padded Jacket,S$ 192.90,"- Dupont filled hooded padded jacket with a wet-look finish
- Hooded neckline
- Lined
- Regular fit
- Front zip fastening
- Drawcord hood and hem
- Two front zip pockets
- Nylon
- Model wears a UK 8 and is 174cm tall",Black,100% Nylon
477,Violeta by MANGO,Plus Size Detachable Hood Puffer Jacket,S$ 99.90,"- Solid tone faux fur hood puffer jacket
- Hooded neckline
- Lined
- Regular fit
- Zip fastening
- 2 side pockets
- Detachable faux fur hood
- Polyamide blend",Navy,"53% Polyamide, 47% Polyester"
478,ONLY,Lynk Soho Long Sleeve Coatigan,S$ 79.00,"- Checkered textured coat
- Collar neckline
- Lined
- Regular fit
- Polyblend
- Model wears an S and is 175cm tall",Night Sky,"96% Polyester, 4% Elastane"
479,A-IN GIRLS,Double-Breasted Windbreaker Jacket,S$ 313.95,"The Latest Korean Fashion Hot Selection

- Easy To Match
- Hot & New
- Temperamental Lady

- The Product Is Manufactured Differently Depending On The Supplier",grey,100% Cotton; Lining: 100% Polyester Fiber;
480,L'Academie,The Fleurette Faux Fur Coat(Revolve),S$ 454.00,"Self 1: 100% modacrylicSelf 2: 100% polyLining: 55% poly 45% viscose
Dry clean only
Front hook and eye closure
Side seam pockets
Faux fur",Brown,[]
481,ONLY,Malene Metallic Anorak Jacket,S$ 109.00,"- Metallic quilted anorak jacket with detachable hood
- Hooded neckline
- Lined
- Regular fit
- Front and hem zip fastening 
- Two side pockets
- Nylon
- Model wears an S and is 175cm tall",Silver,100% Nylon
482,A-IN GIRLS,Casual Wild Hooded Knitted Jacket,S$ 208.95,"The latest Korean fashion hot selection
- Korean fashion, smart choice
- easy to match, fashion up to people
- hot new, to the tide to IN
- The product is manufactured differently depending on the supplier",grey,Knit
483,Forever New,Tori Double Breasted Crombie,S$ 189.99,"- Double breasted coat
- Lapel collar
- Lined
- Regular fit
- Button fastening
- Wool blend
- Model wears a UK 8 and is 174cm tall",Blonde,Wool blend
484,Superdry,Active Batwing Jacket,S$ 119.00,"- Monochrome drop shoulder hoodie with printed back
- Unlined
- Hooded neckline
- Regular fit
- Front zip closure
- 2 side pockets
- Polyester
- Model wears a UK 8 and is 177cm tall",White,100% Polyester
485,Mango,Furry Hooded Parka,S$ 199.00,"- Solid tone faux fur hooded parka
- Sizing runs one size larger
- Hooded neckline
- Unlined
- Regular fit
- Snap button and zip fastening
- Removable hood
- 2 front side zip pockets
- Polyblend",Khaki,"49% Polyester, 46% Cotton, 5% Polyamide"
486,Mango,Hooded Wool Coat,S$ 159.00,"- Solid hue coat
- Sizing runs one size larger
- Lined
- High neckline
- Regular fit
- Zip fastening
- 2 pockets
- Polyblend",Light Beige,"85% Polyester, 15% Wool"
487,Zalia,Tweed Jacket,S$ 49.90,"- Woven tweed crop jacket
- Open neckline
- Lined
- Regular fit
- Slip on style
- Four flap pockets
- Polyester",Baby blue,100% Polyester Woven
488,Superdry,Astrid Puffer Jacket,S$ 219.00,"- Solid shade hooded puffer jacket
- High neckline 
- Regular fit
- Front snap & zip fastening
- Hood with drawcord
- 2 front zip pockets
- Long cuffed sleeves
- Nylon
- Model wears a UK 10 and is 174cm tall",Apple Red,100% Nylon
489,GAP,Sherpa Parka Jacket,S$ 164.90,"- Fleece lined jacket with faux fur hood
- Lined
- Regular fit
- Front button fastening
- Waist drawstring fastening
- 2 pockets
- Cotton
- Model wears an S and is 175cm tall",Olive,100% Cotton
490,ESPRIT,Coats Woven Regular,S$ 289.95,"- Solid toned coat with faux fur details
- Sizing runs one size larger
- Lined
- Hooded neckline
- Regular fit
- Zip with button fastening
- 4 pockets
- Cotton blend
- Model wears an S and is 175cm tall",DARK KHAKI,"53% COTTON,47% POLYESTER,"
491,ZALORA,Zipper Jacket With Cord,S$ 44.90,"- Solid-tone plain collared jacket
- Unlined
- Collar neckline
- Regular fit
- Front zip closure
- Drawstring fastening
- 2 front pockets
- Cotton blend",Caramel,65% Cotton 35% Tencel
492,Its Me,Vintage Check Plus Velvet Coat,S$ 399.00,"- Simple lapels
- Frayed tassels decorated
- Symmetrical fake double pockets
- Pearl buckle closures
- Inner sash buckles
- Buttoned long sleeves
- Clothing plus field thickening (sleeves not Plus velvet)",black,"60.4% Awakening Fiber, 19.9% Cotton, 13.2% Recycled Fiber 4.8% Nylon, 1.7% Other Fiber; Lining: 100% Polyester Fiber;"
493,Something Borrowed,Double Breasted Checks Longline Jacket,S$ 49.90,"- Checkered print jacket with double buttons
- Unlined
- Notched lapel
- Regular fit
- Button fastening
- 2 side pockets
- Polyester",Black/White,100% Polyester
494,Superdry,MOUNTAIN SOFT WINDTREKKER,S$ 219.00,"- Soft-shell&lightweight jacket&a zip fastening, three zipped front pockets and a bungee cord hem",OMBRE MARL/BLACK,95% polyester 5% elastane
495,FILA,White Line Woven Jacket,S$ 228.00,"- Biker jacket design
- Good wind resistance
- Well shaped and wear-resistant
- FILA DNA elements: Classic embroidered FILA logo, EST. 1911, Biella Italia badges
- Two side zip pockets","Navy, Red",Cotton
496,FILA,Fusion Side Taped Jacket,S$ 228.00,"- FILA Fusion Collection
- High neck woven jacket
- FILA logo side taping
- Embroidered F-box logo at the front
- Large FILA logo at the back
- Front zip fastening
- Two side pockets
- Model is 174cm and is wearing a size M",Black,100% Nylon
497,Superdry,Sphere Padded Ultimate Jacket,S$ 219.00,"- Stripe side padded jacket with fleece lined hood
- Hooded neckline
- Lined
- Regular fit
- Front zip and button fastening
- Bungee pull cord hood
- Five-pocket style
- Polyester
- Model wears a UK 8 and is 176cm tall",Worn Black,100% Polyester
498,ZALORA,Plus Size Long Line Vest With Side Slits,S$ 44.90,"- Lapel neckline long vest
- Lapel collar neckline
- Unlined
- Longline fit
- Button fastening
- Sleeveless
- Polyester",Black,100% Polyester Woven
499,Alpha Style,Jaida Classic Track Jacket,S$ 218.00,"- Contrast color fabric design
- Mesh lining
- Drop shoulder, bat sleeves
- Mock collar with zip front closure
- Zip bellow pockets on front
- Contrast slanted welt pockets on both side
- Zip arm pockets on right sleeve
- Sunglasses loops on left chest
- Elasticated cuffs and hem
- Small printed logo on left zip pocket",White / Red / Grey,Shell: 100% Nylon / Linning: 100% Polyester
500,Superdry,Hyper Core Down Jacket,S$ 219.00,"- Patch detail down jacket
- Hooded neckline
- Lined
- Regular fit
- Zip fastening
- 2 pockets
- Nylon",Eagle Black,100% Nylon
501,Mango,Mango Jackets & Coats,S$ 139.00,"- Solid tone waist tie trench coat
- Sizing runs one size larger
- Notch collar neckline
- Lined
- Regular fit
- Button and waist tie fastening
- 2 pocket design
- Cotton blend",Light Pastel Grey,"57% Cotton, 32% Polyester, 11% Polyamide"
502,Dr Denim,Pixley Jacket,S$ 166.00,"- Solid tone faux fur textured jacket
- Standard collared neckline
- Lined
- Regular fit
- Button fastening
- 2 chest button flap pockets
- 2 front side pockets
- Polyester
- Model wears an S and is 173cm tall",Deep Green,100% Polyester
503,A-IN GIRLS,Fashion Versatile Leather Jacket,S$ 299.00,"The Latest Korean Fashion Hot Selection
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier","black,beige",Pu Synthetic Leather; Lining: 100% Polyester Fiber;
504,Superdry,Arctic Velocity Windcheater Jacket,S$ 189.00,"- Melange hued hooded windcheater jacket with contrasting details
- Hooded neckline
- Lined
- Regular fit
- Front zip closure
- Drawcord hood and hem
- Two zip pockets
- Nylon blend
- Model wears a UK 8 and is 174cm tall",Black Marl/Bright Baby Blue,"71% Nylon, 29% Polyester"
505,MISSGUIDED,Co Ord Authentic Vintage Cropped Denim Jacket,S$ 85.90,"- Vintage denim cropped jacket
- Unlined
- Collar neckline
- Regular fit
- Front button closure
- 2 chest pockets
- Cotton
- Model wears a UK 8 and is 174cm tall",Blue,100% Cotton
506,YG Fitness,Quick-Drying Running Fitness Yoga Jacket,S$ 208.95,"Body sculpting, 360-degree perfect body, perfect curve.

Suitable for: Leisure / Yoga / Running / Fitness / Outdoor Sports
- Comfortable fabric, breathable and quick-drying
- Jacket design finger cuffs
- Four-needle six-line exquisite craft",black,Polyester
507,Patagonia,Triolet Jacket,S$ 538.00,"- Solid coloured long sleeve waterproof and breathable jacket
- Re-engineered Optimal Visibility Hood with laminated visor is helmet-compatible and 2-way-adjustable to provide good visibility in poor conditions
- Hooded neckline
- Regular fit
- Long sleeves
- Unlined
- Front zip fastening
- Dual-adjust drawcord hem seals out weather
- Two Napoleon chest pockets with watertight zips and zipper garages
- Two welted handwarmer pockets stay clear of a harness or pack waistbelt
- Interior stretch catch-all pocket
- Polyester
- Model wears an S and is 176cm tall",Navy Blue/Strait Blue,Polyester
508,French Connection,Bellarosa Wool Belted Coat,S$ 283.90,"- Melange waterfall belted coat
- Waterfall collar neckline
- Lined
- Regular fit
- Button and belt fastening
- Wool blend
- Model wears a UK 8 and is 175cm tall",Oatmeal Mel,"70% Wool, 25% Polyamide, 5% Other Fibers"
509,River Island,Maverick Shearling Aviator,S$ 137.90,"- Solid tone faux shearling jacket
- Unlined
- Regular fit
- Front zip fastening
- Self fasten neck belts
- 2 pockets
- Polyester
- Model wears a UK 8 and is 173cm tall",Black,100% Polyester
510,ZALORA,Longline Coat,S$ 89.90,"- Solid tone fuzzy textured coat
- Unlined
- Regular fit
- Front button fastening
- Polyester blend",Dusty Pink,70% Polyester 30% Nylon
511,adidas,Adidas Originals Sst Track Top,S$ 110.00,"- adidas originals
- Best for lifestyle
- Dual tone track jacket with logo detail
- Rib collared neckline
- Unlined
- Regular fit
- Long sleeves
- Zip fastening
- 2 front zip pockets
- Recycled polyblend
- Model wears a size 36 and is 175cm tall",Scarlet,"53% Recycled Polyester, 25% Cotton, 17% Polyester, 5% Elastane"
512,ZALORA BASICS,Fluted Sleeves Jacket,S$ 29.90,"- Fluted sleeves short jacket
- Open front
- Unlined
- Regular fit
- Polyblend",Red,95% Polyester 5% Spandex
513,Something Borrowed,Patch Pocket Hooded Nylon Jacket,S$ 39.90,"- Pastel toned light jacket
- Hooded neckline
- Unlined
- Regular fit
- Zip fastening
- 2 pockets
- Polyester",Lilac,100% Polyester
514,FOREVER 21,Plaid Coat,S$ 116.00,"- Longline coat with wide lapels
- Half notch lapel
- Regular fit
- Front button fastening
- 2 pockets
- Polyblend",Cream/Black,100% Polyblend
515,Vero Moda,Collaryork Wool Jacket,S$ 159.00,"- Faux fur semi long jacket
- Hooded neckline
- Lined
- Loose fit
- Zip fastening
- 2 pockets
- Polyblend
- Model wears an S and is 173cm tall",Silver Mink,"70% Polyester, 30% Wool"
516,Nike,Nike Women's Long-Sleeve Yoga Training Top,S$ 89.00,"- Best for training
- Melange toned cardigan
- Unlined
- Open front
- Regular fit
- Polyblend",Atmosphere Grey/Heather/Black,"87% Polyester, 3% Spandex"
517,ZALORA BASICS,Fluted Sleeves Jacket,S$ 29.90,"- Fluted sleeves short jacket
- Open front
- Unlined
- Regular fit
- Polyblend",Red,95% Polyester 5% Spandex
518,Vero Moda,Oslo Down Jacket,S$ 199.00,"- Side seam zipper detail jacket
- Hooded neckline
- Lined
- Regular fit
- Zip fastening
- 2 pockets
- Polyester
- Model wears an S and is 173cm tall",Black/,100% Polyester
519,MISSGUIDED,Grazer Borg Denim Jacket,S$ 97.90,"- Faux fur faded denim jacket
- Collared neckline
- Lined
- Regular fit
- Button fastening
- 2 side pockets
- 2 chest button flap pockets
- Cotton blend",Blue,"95% Cotton, 5% Elastane"
520,Superdry,Arctic Impact Windcheater,S$ 189.00,"- Two-tone hooded jacket with brand-print
- Partially lined
- Hooded neckline
- Regular fit
- Front zip closure
- Drawstring fastening
- 2 front zip pockets
- Nylon
- Model wears a UK 8 and is 174cm tall",Silver,100% Nylon
521,NA-KD,Mesh Track Jacket,S$ 99.90,"- Herringbone jacket with contrast trim
- High neckline
- Regular fit
- Front zip fastening
- Long cuffed sleeves
- Polyblend",Black,Polyblend
522,ZALORA BASICS,Fluted Sleeves Jacket,S$ 29.90,"- Fluted sleeves short jacket
- Open front
- Unlined
- Regular fit
- Polyblend",Navy,95% Polyester 5% Spandex
523,Its Me,Stylish And Elegant Plus Velvet Jacket,S$ 425.00,"- Tweed stitching lapels
- Symmetrical fake double pockets
- Single row of pearl buckles open
- Side double pockets
- Commuter buttoned long sleeves
- Tweed stitching hem
- Plus velvet plus Thick (the sleeves are not velvet)",beige,"79.1% Polyester Fiber, 20.9% Nylon; Lining: 100% Polyester Fiber;"
524,ZALORA BASICS,Fluted Sleeves Jacket,S$ 29.90,"- Fluted sleeves short jacket
- Open front
- Unlined
- Regular fit
- Polyblend",Ice Blue,95% Polyester 5% Spandex
525,FILA,Fusion Side Taped Jacket,S$ 238.00,"-FILA Fusion Collection
- Front embroidered FILA logo design
- FILA side taped at sleeve
- Contrasting colour design
- Front zip fastening","Navy, Red, White",100% Polyester
526,ZALORA,Longline Waterfall Jacket With Pull String,S$ 39.90,"- Solid tone open front jacket with pull string detail
- Unlined
- Waterfall neckline
- Relaxed fit
- Polyester",Black,100% Polyester
527,Mango,Faux Shearling Coat,S$ 139.00,"- Solid hue faux shearling coat
- Sizing runs one size larger
- Round neckline
- Regular fit
- Front button fastening
- Long sleeves
- Polyester",Black,100% Polyester
528,Superdry,Sphere Padded Ultimate Jacket,S$ 219.00,"- Stripe side padded jacket with fleece lined hood
- Hooded neckline
- Lined
- Regular fit
- Front zip and button fastening
- Bungee pull cord hood
- Five-pocket style
- Polyester
- Model wears a UK 8 and is 176cm tall",Worn Black,100% Polyester
529,Violeta by MANGO,Plus Size Pocketed Denim Jacket,S$ 89.90,"- Double chest pocket denim jacket
- Collared neckline
- Unlined
- Regular fit
- Button fastening
- 4 pockets
- Cotton blend",Open Blue,"99% Cotton, 1% Elastane"
530,Under Armour,UA Favorite Terry Fz Bomber Jacket,S$ 99.00,"- Best for training
- Melange toned bomber jacket
- Unlined
- High neckline
- Regular fit
- Zip fastening
- 2 pockets
- Cotton blend
- Model wears an S and is 174cm tall",Aluminum Light Heather/Steel Light Heather/Tonal,"80% Cotton, 20% Polyester"
531,Mango,Belted Wool Coat,S$ 299.00,"- Solid shade unstructured longline belted wool coat
- Sizing runs one size larger
- Lapel neckline
- Lined
- Regular fit
- Front button and adjustable belt fastening
- Two side pockets
- Wool blend",Black,"74% Wool, 26% Polyamide"
532,Miss Selfridge,PETITE Pink Boucle Jacket,S$ 83.90,"- Checkered textured jacket with rhinestone buttons
- Collar neckline
- Regular fit
- Button fastening
- Polyblend
- Model wears a UK 8 and is 173cm tall",PINK,"50% Polyester, 29% Cotton, 19% Acrylic, 2% Elastane"
533,L.I.M.I.T.E,Women Silicon Patch With Printed MA-1 Jacket,S$ 127.30,"Women Silicon Patch with Printed MA-1 Jacket
- 100% Nylon shell fabric with Polyester lining
- Added silicon Patch at front
- Printed at Back & Sleeves",NAVY,100% NYLON
534,A-IN GIRLS,Fashion Fur Collar Zip Knit Jacket,S$ 313.95,"The Latest Korean Fashion Hot Selection
- Easy To Match
- Hot & New
- Temperamental Lady
- The Product Is Manufactured Differently Depending On The Supplier",grey,"52.5% Viscose, 29% Polyester, 18.5% Nylon"
535,FOREVER 21,Plaid Coat,S$ 116.00,"- Longline coat with wide lapels
- Half notch lapel
- Regular fit
- Front button fastening
- 2 pockets
- Polyblend",Cream/Black,100% Polyblend
536,ZALORA,Drop Shoulder Button Down Twill Jacket,S$ 49.90,"- Solid tone twill jacket with contrast button detail
- Unlined
- Collar neckline
- Regular fit
- Front button closure
- 2 chest pockets
- 2 side pockets
- Cotton",Navy,100% Cotton
537,ZALORA BASICS,Basic Bomber Jacket With Pocket Detail,S$ 49.90,"- Solid shade bomber jacket
- High neckline
- Regular fit
- Front zip fastening
- 2 front pockets
- Long sleeves
- Ribbed hem & cuffs
- Nylon",Black,100% Nylon
538,TOPSHOP,Faux Fur Tiger Print Coat,S$ 219.00,"- Statement faux fur tiger print longline coat
- Notch lapel collared neckline
- Lined
- Relaxed fit
- Zip fastening
- 2 front side pockets
- Modacrylic blend",MULTI,"65% Modacrylic, 35% Polyester"
539,ZALORA,Pull String Detail Bomber Parka,S$ 49.90,"- Contrast trim detail bomber jacket
- Stand collar
- Unlined
- Longline fit
- Zip fastening
- Waist tie
- 2 pockets
- Polyester",Dusty Green,100% Polyester Woven
540,Mango,Leather Biker Jacket,S$ 229.00,"- Solid tone leather biker jacket
- Sizing runs one size larger
- Notch lapel collared neckline
- Lined
- Regular fit
- Zip fastening
- 2 front side zip pockets
- Sheep leather",Black,100% Sheep Leather
541,L'urv,Relay Track Top Jacket,S$ 152.90,"- Solid tone jacket with contrasting trim
- Unlined
- High neckline
- Regular fit
- Zip up fastening
- 2 pockets
- Polyester
- Model wears an S and is 173cm tall",Black,100% Polyester
542,Violeta by MANGO,Cotton-Blend Belt Trench Coat,S$ 199.00,"- Solid hue belted trench coat
- Notch lapels
- Regular fit
- Front button fastening
- Pin-buckle belted waist
- 2 side pockets
- Long cuffed sleeves
- Cotton",Light Beige,100% Cotton
543,ONLY,Gianna Celeste Fur Wool Coat,S$ 159.00,"- Solid toned wool coat with fur
- Unlined
- Hooded neckline
- Regular fit
- Zip with button fastening
- 2 pockets
- Polyblend
- Model wears an S and is 175cm tall",Black,"40% Polyester, 30% Acrylic, 30% Wool"
544,Mango,Checked Structured Coat,S$ 199.00,"- Checked print long coat
- Sizing runs one size larger
- Lined
- Lapel neckline
- Regular fit
- Button fastening
- 2 pockets
- Polyblend",Green,"68% Polyester, 15% Viscose, 10% Acrylic, 7% Wool"
545,Superdry,Print Velocity Arctic Windcheater Jacket,S$ 189.00,"- All over camouflage print hooded jacket
- Hooded neckline
- Lined
- Regular fit
- Zip and hood drawcord fastening
- 2 front side zip pockets
- Polyester",Navy Leopard Spot Camo,100% Polyester
546,Vero Moda,Calarambla 3/4 Jacket,S$ 109.00,"- Solid shade longline double breasted coat
- Lapel neckline
- Lined
- Regular fit
- Front button fastening
- Two pockets
- Polyblend
- Model wears an S and is 174cm tall",Café Au Lait/,[]
547,A-IN GIRLS,Temperament Lapel Mixed Long Coat,S$ 341.25,"The latest Korean fashion hot selection
- Korean fashion, smart choice
- easy to match, fashion up to people
- hot new, to the tide to IN
- The product is manufactured differently depending on the supplier",grey,"18% Viscose, 82% Polyester Fiber"
548,Lorna Jane,Teddy Lined Puffer Vest,S$ 176.99,"- Solid tone dual textured puffer vest
- High neckline
- Lined
- Regular fit
- Snap button and zip fastening
- 2 side zip pockets
- Polyester
- Model wears an S and is 173cm tall",Black,[]
549,Boohoo,Sleeveless Maxi Duster Jacket,S$ 49.90,"- Solid hue sleeveless maxi jacket
- Unlined
- Open front
- Regular fit
- Polyblend
- Model wears a UK 8 and is 175cm tall",Black,Polyblend
550,Mango,Tweed Cotton Jacket,S$ 89.90,"- Solid tone tweed texture jacket
- Sizing runs one size larger
- Open neckline
- Lined
- Regular fit
- Slip on style
- Cotton blend",Black,"36% Cotton, 31% Acrylic, 31% Polyester, 2% Viscose"
551,ESPRIT,Hooded Woven Outdoor Jacket,S$ 329.95,"- Hooded woven padded jacket with removable faux fur trim
- Sizing runs one size larger
- Hooded neckline
- Lined
- Relaxed fit
- Front zip and button fastening with drawstring waist
- Four front pockets
- Polyester
- Model wears a size 36 and is 173cm tall",Pastel Pink,100% Polyester
552,ZALORA BASICS,Basic Contrast Trim Textured Jacket,S$ 29.90,"- Monochrome toned textured jacket with trim details
- Unlined
- Open front
- Regular fit
- Polyester",Black With White Trim,100% Polyester
553,NA-KD,Short Padded Jacket,S$ 132.90,"- Solid toned padded jacket
- High neckline
- Lined
- Regular fit
- Front zip with button fastening
- 2 pockets
- Polyamide
- Model wears a size 34 and is 172cm tall",Black,[]
